test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
0_Parade_marchingband_1_149,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1694444444444444,0.0503843254089362,0.166734460589476,0.0392350402946919,0.3077614149125987,0.0565150403769918,0.2749486979952509,0.8305555555555557,0.1844516594516594,0.1508481587313212,0.1809433804581988,0.8026508075359605,0.9739120052423632,0.5545454545454546,0.5545454545454546,0.4412511335518365,0.5545447611968779,0.5545454545454546,0.5545454545454546,0.1280701754385965,0.1280701754385964,0.0903235698054611,0.1268461399162453,0.0846934459436226,0.1106520100700353
35_Basketball_Basketball_35_180,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.20625,0.0488140604744165,0.2657754191181162,0.1077360625992791,0.4165700052684981,0.0973026864325601,0.2554620602543147,0.8466666666666668,0.1533333333333333,0.1436143308300735,0.1595646563034655,0.8589202721594752,0.9803001830457236,0.6599999999999999,0.6599999999999999,0.5412079369880428,0.6599988266016981,0.6599999999999999,0.6599999999999999,0.1369565217391303,0.1369565217391303,0.0962918376635947,0.1365879317726538,0.0789251096327341,0.1134887601948387
12_Group_Group_12_Group_Group_12_28,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.0416666666666666,0.0263523138347364,0.0419145299145299,0.0422377078076506,0.0816923076923076,0.0500389065436391,0.1517827851891288,0.9583333333333334,0.0631313131313131,0.0505380563463711,0.0677492969224124,0.9075422799353644,0.9761343242096862,0.5,0.5,0.356261874069116,0.4999996115016634,0.5,0.5,0.11,0.1099999999999999,0.0881686391228807,0.1099474884912179,0.0909351507519224,0.1099999999999999
12_Group_Group_12_Group_Group_12_417,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0846153846153846,0.0414243446702654,0.306030210329746,0.066195637409467,0.3660885055776696,0.0534219921692376,0.1913855108163314,0.9153846153846152,0.0846153846153846,0.0826814418406235,0.0880719535887903,0.8612358220930519,0.9650635316733644,0.55,0.55,0.4571524875385576,0.549999240978064,0.55,0.55,0.1638888888888888,0.1638888888888888,0.1044720659500345,0.1622166579718739,0.0761198555491061,0.0983371924220152
12_Group_Team_Organized_Group_12_Group_Team_Organized_Group_12_458,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0722222222222222,0.0254587538608657,0.1508918198506299,0.0796961595320765,0.212437385269193,0.0751570910213852,0.1291071733985486,0.9823529411764704,0.0419169066227889,0.0390481673582626,0.0335692412111485,0.8582408260338575,0.9799103295580506,0.65,0.65,0.5128327992184816,0.6499973554490119,0.65,0.65,0.1478260869565217,0.1478260869565217,0.1019229914288926,0.1475573110926849,0.0871372246964186,0.0963460023624105
55_Sports_Coach_Trainer_sportcoaching_55_516,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1238095238095238,0.0485620906056455,0.1529633289415898,0.0932241751993011,0.2578137482485308,0.0936771048899433,0.223370715062198,0.8761904761904761,0.1238095238095238,0.1218905666469217,0.1270571625508368,0.8675301792156467,0.9682126736783856,0.65,0.65,0.5479723045720244,0.6499981943371413,0.65,0.65,0.1205882352941176,0.1205882352941176,0.0921432939494938,0.120372010910704,0.0867124769412765,0.1119093127340166
20_Family_Group_Family_Group_20_255,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4076923076923077,0.0773067355470837,0.1903669751411867,0.0768768148035324,0.5208283573627591,0.0723665547479841,0.4578535421585575,0.6695652173913044,0.342292490118577,0.2857669432562249,0.3500847821862307,0.9709626855231778,0.9666938132984914,0.7066666666666667,0.7066666666666667,0.5766731846849076,0.706665385582422,0.7066666666666667,0.7066666666666667,0.123076923076923,0.123076923076923,0.0885588978111602,0.1225290418442493,0.0879233409333755,0.098431959089973
2_Demonstration_Protesters_2_738,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3958333333333333,0.0858980338670346,0.3769314522255699,0.0427541964927125,0.621976521976522,0.0687709613925667,0.4977283726659373,0.6304347826086957,0.3952607175433262,0.310100700161164,0.3956674532980823,0.984286446061912,0.952192952061171,0.59375,0.59375,0.4634129855664218,0.5937497115742332,0.59375,0.59375,0.1597826086956522,0.1597826086956522,0.0932608181110657,0.158015152818425,0.0971049082843553,0.1013283084224601
20_Family_Group_Family_Group_20_579,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0909090909090909,0.040655781409087,0.1686309523809523,0.0942921962959444,0.2451028138528138,0.0848883050016475,0.2185412445796679,0.9090909090909092,0.1408773045136681,0.111242936088147,0.1151027356988307,0.971672981563414,0.9842254710017256,0.5,0.5,0.4137096058388017,0.5,0.5,0.5,0.1142857142857143,0.1142857142857142,0.0835673194941222,0.1140430750528227,0.090482572618063,0.1000143311023163
50_Celebration_Or_Party_birthdayparty_50_43,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0941176470588235,0.0539126552347745,0.193745272271588,0.0582237411711095,0.2698560036454773,0.0680221023223144,0.2090549277092686,0.9058823529411764,0.1232894556423968,0.0924647185317002,0.1253715728184323,0.9093531702548078,0.9730830484387556,0.5333333333333333,0.5333333333333333,0.3569069468106949,0.5333329523462392,0.5333333333333333,0.5333333333333333,0.1499999999999999,0.1499999999999999,0.0992861531707596,0.1489494018106248,0.0838620518500028,0.1049729239363588
