test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
38_Tennis_Tennis_38_758,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.26,0.1562049935181331,0.2837301587301587,0.0914422112841501,0.4819444444444444,0.0598828457525149,0.3421441107662644,0.74,0.2599999999999999,0.2298230898638451,0.2615585744147821,0.9558455305628378,0.9905039620034152,0.4333333333333333,0.4333333333333333,0.3642642449703403,0.4333326226407517,0.4333333333333333,0.4333333333333333,0.3,0.3,0.1744072935543044,0.2991328443405422,0.0797211860116748,0.1072370010592179
38_Tennis_Tennis_38_23,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4,0.229128784747792,0.3698412698412697,0.138750497946033,0.6154761904761905,0.1913706676225587,0.4895161381269606,0.6,0.4,0.3126668973392442,0.4050387615888043,0.923432221514299,0.9899116164915044,0.5333333333333333,0.5333333333333333,0.4190842383426807,0.5333316813035788,0.5333333333333333,0.5333333333333333,0.325,0.3249999999999999,0.1649913085452777,0.3245929056801099,0.0421002195531068,0.0634775058310194
44_Aerobics_Aerobics_44_407,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.1999999999999999,0.2211083193570266,0.2299999999999999,0.1288409872672512,0.3833333333333333,0.202895703913776,0.2949760711240227,0.7999999999999999,0.1999999999999999,0.1718540456491785,0.2056636694904841,0.9665511410232502,0.991057341752268,0.3,0.3,0.2412166762355513,0.2999994139251797,0.3,0.3,0.2499999999999999,0.2499999999999999,0.146641827239542,0.2499806203756004,0.0783534251953205,0.0765220394157337
41_Swimming_Swimming_41_161,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3222222222222222,0.1444444444444444,0.2436163836163836,0.0972246942141181,0.4919663669663669,0.1031288293065128,0.4153694594825259,0.6777777777777777,0.3222222222222222,0.2762161862370524,0.3342251805906187,0.9646120626913092,0.9819404340523308,0.4142857142857143,0.4142857142857143,0.3431924257516411,0.4142854243023134,0.4142857142857143,0.4142857142857143,0.1476190476190476,0.1476190476190476,0.1044091673507348,0.146573654041793,0.0823081978052102,0.1198745210271956
38_Tennis_Tennis_38_558,1.0000000000000001e-20,2.9412578112666736,1.0,10,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3375,0.0976281209488331,0.0755555555555555,0.0668146505705462,0.3875,0.1017686950095687,0.4289343392617596,0.6625000000000001,0.3374999999999999,0.2875689038577981,0.3442498164333156,0.9685706986930314,0.9808920537415236,0.45,0.45,0.367176589319339,0.4499987024816894,0.45,0.45,0.175,0.1749999999999999,0.1214734110176214,0.1742289908947704,0.099742196720301,0.1749999999999999
13_Interview_Interview_On_Location_13_791,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.227027027027027,0.0543236520060588,0.2372095791674978,0.0473134370659193,0.4102637655985665,0.0560997199295748,0.3760420288177158,0.772972972972973,0.2315315315315315,0.2009783275150504,0.2367558830773861,0.8635006314846924,0.9716307641929584,0.336,0.336,0.2716230325104805,0.335999499190113,0.336,0.336,0.1828125,0.1828125,0.1185229729707646,0.1818881636908573,0.0711144440467221,0.1107243830729436
47_Matador_Bullfighter_matadorbullfighting_47_777,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,0.1,0.2,0.15,0.1892969448600091,0.25,0.2140872096444188,0.198169307144918,0.9,0.0999999999999999,0.1005625246658629,0.1008648767408931,0.961825294321073,0.9901460439287556,0.2,0.1999999999999999,0.1719927075092016,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1666666666666666,0.1666666666666666,0.1214136504681872,0.1664788419303326,0.0678846841931568,0.0677058749953731
29_Students_Schoolkids_Students_Schoolkids_29_506,9.910000000000005e-18,2.297756702473389,0.9999999909,9,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.1,0.0333333333333333,0.0831818181818181,0.0814651474431482,0.1739393939393939,0.0894310828500737,0.2447500920791688,0.8999999999999999,0.1317460317460317,0.0984974854842925,0.1227102408241747,0.9883342079778428,0.9957733561457623,0.3,0.3,0.2403247245956774,0.2999999572179979,0.3,0.3,0.3,0.3,0.1687024243848045,0.2968714164893601,0.0007255557666612,0.1339758953871263
1_Handshaking_Handshaking_1_457,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.2625,0.1419727086450068,0.0222222222222222,0.0444444444444444,0.2763888888888889,0.1550898286099755,0.3903267441076897,0.7375,0.319047619047619,0.2119463837102987,0.2707513889857456,0.9327449924241964,0.9883842742745104,0.35,0.35,0.2835799834108125,0.3499997158316831,0.35,0.35,0.1,0.0999999999999999,0.0834675819911593,0.0999999567682193,0.0999999999999999,0.0999999999999999
32_Worker_Laborer_Worker_Laborer_32_400,9.910000000000005e-18,2.297756702473389,0.9999999909,9,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3,0.1843908891458577,0.3136724386724386,0.1869060813788413,0.5220490620490621,0.1739187873907959,0.4049021531648847,0.7000000000000001,0.3,0.2713945411619156,0.3087704716030989,0.950987456520014,0.9742760027571734,0.5,0.5000000000000001,0.4220632080280897,0.4999998259603475,0.5000000000000001,0.5000000000000001,0.2153846153846154,0.2153846153846153,0.1459364518873802,0.2151703038105339,0.0444591117407187,0.1087374716551246
