test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
36_Football_Football_36_62,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5923076923076923,0.0773067355470837,0.4299598634266826,0.0997568465552095,0.7675014598927642,0.0627000405589572,0.632252006345708,0.4818181818181817,0.5556071201525747,0.4263035966208896,0.5460134146814788,0.954649333730379,0.9422456414383176,0.7699999999999999,0.7699999999999999,0.6211711055218128,0.7699994589804491,0.7699999999999999,0.7699999999999999,0.1354430379746835,0.1354430379746835,0.0916030620243795,0.1342542104713084,0.0847216967831865,0.1042303059892474
10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_524,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6416666666666666,0.0650854139658887,0.4243851202656888,0.059132547771317,0.794528282222626,0.037878576961656,0.6500612214636541,0.4777777777777778,0.5707186948853615,0.4136539667521923,0.5579972974518133,0.9750814409647992,0.9467824105811572,0.6695652173913044,0.6695652173913044,0.5239619166247982,0.6695639340916744,0.6695652173913044,0.6695652173913044,0.1885416666666667,0.1835069444444444,0.1050131560979096,0.1827569360628736,0.0655762138742157,0.0992309279661153
44_Aerobics_Aerobics_44_430,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.14,0.0916515138991168,0.4225954600954601,0.1808562764982092,0.507007437007437,0.1496540583394117,0.2997305883212945,0.86,0.1763636363636363,0.1332166121022926,0.1711935391855296,0.9726518779531512,0.992035352544944,0.7,0.7,0.4895892346321436,0.6999996435045301,0.7,0.7,0.1222222222222221,0.1222222222222221,0.0914540244446627,0.1221362429014992,0.0948299028076998,0.1006247570243777
44_Aerobics_Aerobics_44_919,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4111111111111111,0.111665284679121,0.4411189739053515,0.0909418203412286,0.6728595999803431,0.0754030857298876,0.4937683569016384,0.6625,0.4293764568764568,0.292996092636426,0.4072578872099938,0.9646048650247978,0.9566156834448284,0.74,0.74,0.5957163148830262,0.7399988531876803,0.74,0.74,0.1415094339622641,0.1399999999999999,0.0887897077841757,0.1387674388972016,0.0795446808835712,0.1078777146044564
39_Ice_Skating_Ice_Skating_39_388,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3333333333333333,0.0843274042711567,0.6428980546072055,0.0338837886709956,0.7624818538927745,0.0334989292470661,0.4964024721130909,0.6666666666666665,0.3937243867243867,0.2979287235512689,0.3880667445688507,0.9854257340851073,0.9631306163933264,0.5,0.5,0.374514583836291,0.4999990810464647,0.5,0.5,0.1593023255813953,0.1575581395348837,0.0947645574471412,0.1562648695612614,0.0805867457550868,0.0983295266647415
55_Sports_Coach_Trainer_sportcoaching_55_859,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.23,0.0640312423743284,0.4911830143876852,0.105596623097116,0.6085902501052589,0.0867564703652413,0.3250266484727357,0.8555555555555556,0.1545454545454545,0.1847209158113069,0.161609987953902,0.9812096249681824,0.9713998996046836,0.575,0.575,0.4811065424454456,0.5749998960971228,0.575,0.575,0.1258823529411764,0.1258823529411764,0.0908250568928445,0.1254611564531109,0.0880334071955313,0.1050830373908278
4_Dancing_Dancing_4_53,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5599999999999999,0.0799999999999999,0.5725314987441988,0.0603902678917167,0.8137053492766363,0.0347238565673002,0.5969824765809484,0.55,0.5626665001665002,0.358543890611512,0.5272444166836214,0.9595118993205282,0.9604000294564295,0.8,0.8,0.5800921614473572,0.7999983773539847,0.8,0.8,0.1177966101694915,0.1177966101694915,0.0873586510834874,0.1174329210248933,0.090626697738384,0.1010741779353193
51_Dresses_wearingdress_51_549,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.325,0.082915619758885,0.5399678489152173,0.1146658222290463,0.6839128756234019,0.1035952048039457,0.4728531685634704,0.675,0.3811688311688311,0.2857990817319585,0.3663176195737258,0.981104257568406,0.9344673027668694,0.65,0.65,0.4872607062273286,0.6499982783052367,0.65,0.65,0.1316455696202531,0.1316455696202531,0.0900143559565225,0.1309947568586326,0.0901722846573272,0.1020987395149042
8_Election_Campain_Election_Campaign_8_113,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4909090909090909,0.0833195580901061,0.4327638286176773,0.1257874316885172,0.7159131334603738,0.055022174036896,0.5259650870978291,0.6222222222222222,0.3878787878787879,0.3060172473909179,0.3956562658576836,0.9669246187193592,0.9606896079476356,0.7714285714285714,0.7714285714285714,0.6065447922710127,0.7714278866863825,0.7714285714285714,0.7714285714285714,0.1342857142857142,0.1342857142857142,0.088889740583624,0.1331391492173741,0.0837024526797534,0.1102760971849105
12_Group_Group_12_Group_Group_12_38,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2833333333333333,0.1,0.2623839163932043,0.1166774671341889,0.4713888755723121,0.112394527617272,0.4243923297900345,0.7166666666666667,0.3628586691086691,0.2545886673564957,0.3194655691745945,0.9711951320067156,0.952676935461071,0.5666666666666667,0.5666666666666667,0.4471443589208984,0.5666654886004386,0.5666666666666667,0.5666666666666667,0.1205128205128204,0.1205128205128204,0.088372687589428,0.1202290542880893,0.0874848099920771,0.1103388940732515
