test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
35_Basketball_Basketball_35_180,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2047619047619047,0.0523809523809523,0.2074072643165596,0.0699094497275408,0.3687238090356531,0.0768275008845456,0.316777611640379,0.835,0.1649999999999999,0.130025812094379,0.1766576948723441,0.9196498357115888,0.976372109544254,0.43,0.43,0.3208936793250882,0.4299995720611352,0.43,0.43,0.1727272727272727,0.1727272727272727,0.1081517517966677,0.1716450793650202,0.0641710130260985,0.1216056981898396
12_Group_Group_12_Group_Group_12_28,0.0001138491179057,0.9589446384042888,0.8506916541,3,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.0125,0.0190940653956493,0.0746068376068376,0.0694001983962497,0.0857446581196581,0.0748587582758364,0.1607556226176635,0.9875,0.0287820512820512,0.0195961649251171,0.0309412670353541,0.9387815606851564,0.9874179408170316,0.15,0.1499999999999999,0.0777615564201164,0.1499993974662634,0.1499999999999999,0.1499999999999999,0.13125,0.1312499999999999,0.0941218394478882,0.1302089183370643,0.089258311151271,0.0882564718692036
12_Group_Group_12_Group_Group_12_417,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1958333333333333,0.0746519702798705,0.1877994227994228,0.0570547374142751,0.3467502405002404,0.0755152988987844,0.3483301565333765,0.8041666666666667,0.2027777777777778,0.1768006647207688,0.2064960546636574,0.9418581141039056,0.9885228408984676,0.4272727272727273,0.4272727272727273,0.3412861500532107,0.4272720653948413,0.4272727272727273,0.4272727272727273,0.178125,0.1781249999999999,0.1163022898395544,0.1774640298202058,0.070950727670901,0.110652140575682
12_Group_Team_Organized_Group_12_Group_Team_Organized_Group_12_458,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0611111111111111,0.0299175822618583,0.2262845849802371,0.0568722978274529,0.2738142292490118,0.0551039680148619,0.1879813815943887,0.9388888888888888,0.0661616161616161,0.068458045979203,0.0665710980466467,0.9118710631788336,0.9737235892122086,0.55,0.55,0.4697989288941728,0.5499985143704949,0.55,0.55,0.16875,0.1687499999999999,0.1075501641932707,0.1681542783516974,0.0684434189358536,0.1132204088350847
55_Sports_Coach_Trainer_sportcoaching_55_516,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2206896551724138,0.0316039703100402,0.1102599165277059,0.0513195279751819,0.3069718441696293,0.0437190567592827,0.3213001905636452,0.8071428571428573,0.1961038961038961,0.176093160692667,0.1977249551784781,0.9301926702164444,0.97438811124487,0.5333333333333334,0.5333333333333334,0.4507011169831791,0.5333326357000622,0.5333333333333334,0.5333333333333334,0.185,0.185,0.1114328891115201,0.1826465084481809,0.0629670147358391,0.1204079498146556
20_Family_Group_Family_Group_20_255,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2333333333333333,0.054084841388574,0.2758446766587756,0.0429931233742438,0.44501642290783,0.0500047721544778,0.382674337782918,0.7666666666666667,0.2333333333333334,0.1984923141395486,0.243804336015977,0.9717291928809692,0.9841842726899088,0.5444444444444445,0.5444444444444445,0.439436332953323,0.5444438815286856,0.5444444444444445,0.5444444444444445,0.18,0.1780555555555555,0.1111463111810819,0.1771292880704002,0.0663950105640909,0.1031975499714955
20_Family_Group_Family_Group_20_579,1.0,-0.2003348423231196,0.0,0,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.0,0.0,0.0821678321678321,0.087941291542405,0.0821678321678321,0.087941291542405,0.1092963124385028,1.0,0.0,0.0171910327858992,0.0025706412071772,0.9680380004246304,0.9907373242500324,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.1666666666666666,0.1216812775367677,0.166527133280161,0.0362071872603563,0.1666666666666666
50_Celebration_Or_Party_birthdayparty_50_43,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1652173913043478,0.0425998216136204,0.1380297040124626,0.0568416508749415,0.2795895611412852,0.0700318521677086,0.2918478696123796,0.8347826086956521,0.1691699604743083,0.1593173946417326,0.1756632196026936,0.9374755523236016,0.9839007655187324,0.5428571428571428,0.5428571428571428,0.4438485591974312,0.5428568339463877,0.5428571428571428,0.5428571428571428,0.2714285714285714,0.2714285714285714,0.1228592635745224,0.2676195933744817,0.0744643485703813,0.0729953343146808
58_Hockey_icehockey_puck_58_825,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1,0.0333333333333333,0.1645006542155744,0.0432760281307834,0.2477018832358506,0.0536822676449055,0.230742041616168,0.9000000000000001,0.1061728395061728,0.0876993907816833,0.1062611783787675,0.8931367441320802,0.9766413946792418,0.6749999999999999,0.6749999999999999,0.5273130157965815,0.6749985328656716,0.6749999999999999,0.6749999999999999,0.1636363636363636,0.1636363636363636,0.1069061677762412,0.1633028355290077,0.0812735766551373,0.0925265053013691
20_Family_Group_Family_Group_20_101,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2217391304347826,0.0410173092698113,0.1160828175655762,0.0486935825335089,0.3121741821396994,0.0505185451370252,0.3357299092481687,0.7782608695652173,0.2317725752508361,0.1973566218717974,0.2308748657064337,0.9535994235417664,0.960488193287432,0.7285714285714286,0.7285714285714286,0.6087137136844915,0.7285712110137516,0.7285714285714286,0.7285714285714286,0.1192307692307692,0.1192307692307692,0.0912513694385916,0.1186418710884299,0.0813253843676509,0.1192307692307692
