test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
38_Tennis_Tennis_38_758,1.0,-0.2003348423231196,0.0,0,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,0.0,0.0,0.4564285714285714,0.2665604592921649,0.4564285714285714,0.2665604592921649,0.1938482242717042,1.0,0.1666666666666666,0.0765968309836064,0.0568923383529058,0.9994556569429792,0.9988537466798564,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.1624999999999999,0.1033541702533642,0.1595056769302957,0.0641020096749859,0.1128207671547421
44_Aerobics_Aerobics_44_407,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5799999999999998,0.1399999999999999,0.5224331224331225,0.0933433662488895,0.7973065823065822,0.0781423766645312,0.7118241686168558,0.42,0.5799999999999998,0.4434127425336379,0.5858283244603524,0.997467166461296,0.9585128747397692,0.7250000000000001,0.7250000000000001,0.5433702526549913,0.7249995215278309,0.7250000000000001,0.7250000000000001,0.1567567567567567,0.1567567567567567,0.0977269733361699,0.1546993099397333,0.0812256820441471,0.097475025818771
41_Swimming_Swimming_41_161,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6333333333333333,0.1452966314513558,0.3947552447552447,0.1015776892894478,0.7789238539238539,0.0818416180772797,0.7020314670360508,0.44,0.6171428571428572,0.4843203389162193,0.6031936935076261,0.9770024332447644,0.9784691801360538,0.76,0.76,0.6359982911838673,0.7599983040419616,0.76,0.76,0.1555555555555555,0.1555555555555555,0.1011041086632668,0.1548312669798845,0.0769356114371475,0.0964872006647817
38_Tennis_Tennis_38_558,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5166666666666666,0.1166666666666666,0.4135431235431236,0.0735124705696805,0.7148174048174047,0.0786530837285727,0.6593683956359393,0.4833333333333333,0.5166666666666666,0.4065316327154827,0.5239561928827864,0.98283914532532,0.9824403392755836,0.62,0.62,0.4775108627091968,0.619998855736436,0.62,0.62,0.157142857142857,0.157142857142857,0.096656075027435,0.1541826690764305,0.0692842574497729,0.1039548508692367
13_Interview_Interview_On_Location_13_791,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6703703703703703,0.1140957170425878,0.260556631018234,0.0647605763175021,0.7583453004655067,0.0803882012080677,0.7392448775462075,0.3708333333333333,0.6387820512820512,0.4750003741304566,0.6421894291656857,0.964380521648772,0.9466449019511332,0.7240000000000001,0.7240000000000001,0.5504290889458247,0.7239993366228187,0.7240000000000001,0.7240000000000001,0.1152941176470588,0.1142647058823529,0.0834602990153895,0.1137502993195337,0.0922906506357191,0.103589231226489
47_Matador_Bullfighter_matadorbullfighting_47_777,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5333333333333333,0.1632993161855452,0.3371428571428571,0.1612071806776634,0.7064285714285714,0.0840381756464667,0.6335981613392802,0.4666666666666667,0.5333333333333333,0.5012889267468813,0.5397878908382876,0.9661251991207592,0.9657228723736132,0.8,0.8,0.6905108389142453,0.7999996479598969,0.8,0.8,0.1285714285714286,0.1285714285714286,0.0939181117015621,0.1272857052141486,0.0857262782438687,0.1000306733327381
29_Students_Schoolkids_Students_Schoolkids_29_506,1.0000000000000001e-20,2.9412578112666736,1.0,10,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4833333333333333,0.1384437310486345,0.1804761904761904,0.1232993150363592,0.5820238095238095,0.1198833167592063,0.5449619501643769,0.62,0.4951428571428571,0.2885644763519502,0.4665019665102591,0.9985537064758588,0.958711786415759,0.58,0.58,0.420687284428583,0.5799989108446633,0.58,0.58,0.125,0.125,0.0863844635545629,0.1245783115799489,0.0833788047576716,0.1000329227064559
32_Worker_Laborer_Worker_Laborer_32_400,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5714285714285714,0.1564921592871903,0.5059188034188035,0.0623518625752344,0.7876953601953602,0.08830692061286,0.6812520357111501,0.4285714285714285,0.5714285714285714,0.4917330372733162,0.5832588497556852,0.9550079435025,0.9673175528840076,0.6666666666666666,0.6666666666666666,0.5528422571295661,0.6666663391218643,0.6666666666666666,0.6666666666666666,0.1370370370370369,0.1370370370370369,0.0913557220178176,0.1359949708119032,0.0874387399504036,0.1044895035890189
31_Waiter_Waitress_Waiter_Waitress_31_195,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4714285714285714,0.1285714285714285,0.3129720279720279,0.1029125227284997,0.6341958041958042,0.1181876162354775,0.5886726641444928,0.5285714285714286,0.4844155844155843,0.4166588989844042,0.4843209065450161,0.9848508081173296,0.9845183442154511,0.66,0.66,0.5285205212623733,0.6599984557315957,0.66,0.66,0.1416666666666666,0.1416666666666666,0.0983872997322991,0.140910363904957,0.0711675170431177,0.1127022593299841
31_Waiter_Waitress_Waiter_Waitress_31_465,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4599999999999999,0.18,0.396031746031746,0.1179920130447533,0.6744047619047618,0.1222373277101323,0.5711302026499269,0.54,0.4599999999999999,0.3640836009362614,0.4668306365038367,0.978978616149466,0.9389467864085898,0.7666666666666666,0.7666666666666666,0.5820057644766441,0.7666658378375609,0.7666666666666666,0.7666666666666666,0.1161290322580645,0.1161290322580645,0.0840467070930773,0.1152435939768256,0.0872055876685876,0.1064631011928648
41_Swimming_Swimmer_41_1001,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7466666666666666,0.1292714628644354,0.2777589150615466,0.1244965591222963,0.8090024911735438,0.1133560452472591,0.7502863789515185,0.3454545454545454,0.6797202797202797,0.5103771856675572,0.6666070980680071,0.9568037072039408,0.9581514060639928,0.7466666666666665,0.7466666666666665,0.5944644374087724,0.7466654536117727,0.7466666666666665,0.7466666666666665,0.128,0.1279999999999999,0.0929022283041898,0.1275577182264517,0.0768251564288687,0.1160996678711208
13_Interview_Interview_On_Location_13_287,1.0,-0.2003348423231196,0.0,0,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.0,0.0,0.3838095238095238,0.1768834506166159,0.3838095238095238,0.1768834506166159,0.1821401072030508,1.0,0.0,0.0504805430119662,0.0150049738921454,0.9968730330063929,0.9971937946286524,0.0,0.0,0.0,0.0,0.0,0.0,0.1533333333333333,0.1533333333333333,0.1074825526676064,0.1528732995052539,0.0694646492690071,0.1074969766508317
1_Handshaking_Handshaking_1_35,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6416666666666667,0.0749999999999999,0.2851366538518241,0.1193364524768561,0.7442968044167735,0.0692680966051732,0.7055181614105634,0.3909090909090908,0.6246280991735538,0.5062775869363001,0.6263103799835004,0.9530418305002818,0.9533230827266624,0.77,0.77,0.6160571918433965,0.7699985288513662,0.77,0.77,0.1394736842105262,0.1394736842105262,0.0960656116351072,0.1374062990100029,0.0801790648975707,0.0951344330914241
48_Parachutist_Paratrooper_Parachutist_Paratrooper_48_205,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7538461538461539,0.1076923076923077,0.3159639648800371,0.0856549812449255,0.8295018214275517,0.0814947861633042,0.772371508827825,0.32,0.6963636363636365,0.5424741623700424,0.6918498136532395,0.9679402327466048,0.9482770541696868,0.7538461538461539,0.7538461538461539,0.6006101855571926,0.7538450864215032,0.7538461538461539,0.7538461538461539,0.1211538461538461,0.1211538461538461,0.0880447710216112,0.1207192138035002,0.0887926341152966,0.100043605361255
37_Soccer_soccer_ball_37_803,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6363636363636365,0.128564869306645,0.3358182976294431,0.0982042792032139,0.7574820346492173,0.0929410861628511,0.6884447561835395,0.4444444444444444,0.596011396011396,0.4838764438988667,0.5858806073272028,0.9874114944979716,0.9433839758090234,0.7,0.7,0.5613004469212055,0.699999209017483,0.7,0.7,0.1594594594594594,0.157142857142857,0.1003064581878415,0.1569050531300103,0.0709717092084113,0.1115776740966554
47_Matador_Bullfighter_matadorbullfighting_47_746,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7428571428571428,0.0857142857142856,0.4286713286713287,0.1381301141891072,0.8550172050172051,0.0559722361024623,0.745532114724051,0.36,0.6581818181818181,0.5098901775278378,0.6564135933403972,0.9667016767570666,0.8963465717475897,0.8666666666666667,0.8666666666666667,0.6975126068955889,0.8666655455133405,0.8666666666666667,0.8666666666666667,0.1818181818181818,0.1818181818181818,0.1087379004080423,0.1793054424853162,0.068172771833369,0.0973130967357809
1_Handshaking_Handshaking_1_522,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4555555555555555,0.1753303759784388,0.3321653346653346,0.1321960030891678,0.6400792263292263,0.1206030655138753,0.5290072654516011,0.6125,0.4277097902097901,0.2629660778946021,0.4200203905924995,0.9837275150409008,0.9944031801633664,0.5857142857142857,0.5857142857142857,0.418210770264648,0.5857137484947038,0.5857142857142857,0.5857142857142857,0.1195121951219512,0.1195121951219511,0.0878006638299335,0.1190482086721142,0.0848905147046517,0.1123754075545428
55_Sports_Coach_Trainer_sportcoaching_55_1027,1.0,-0.2003348423231196,0.0,0,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,0.0,0.0,0.4573809523809523,0.3224383609290921,0.4573809523809523,0.3224383609290921,0.2185692915232093,1.0,0.0,0.0682851262590933,0.0084244253477792,0.9982198778881672,0.9977655585035412,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.1124999999999999,0.082547639157102,0.1114578035420317,0.0875660592428302,0.1124999999999999
35_Basketball_playingbasketball_35_556,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.375,0.1118033988749894,0.2536130536130536,0.0624378021973418,0.5390326340326339,0.0542094238093852,0.5523086251070702,0.625,0.375,0.3393976177005808,0.4004506646467639,0.9870185639088482,0.9865884641072838,0.5,0.5000000000000001,0.3951656725988843,0.4999988285693554,0.5000000000000001,0.5000000000000001,0.1333333333333333,0.1333333333333333,0.0893123046695335,0.13080513338767,0.0857935527932894,0.1047977166075501
1_Handshaking_Handshaking_1_766,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6333333333333334,0.1247219128924647,0.2301948051948052,0.1730803725752183,0.7307720057720059,0.0666793249134686,0.7324030034448956,0.3666666666666667,0.6333333333333333,0.4414370498644857,0.644578539036489,0.9997661543405366,0.8995076628417341,0.76,0.76,0.5200867351158777,0.7599989552784561,0.76,0.76,0.1157894736842105,0.1157894736842105,0.084864101554974,0.1149820337551673,0.0897148161990653,0.1000598976080805
35_Basketball_playingbasketball_35_818,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5555555555555556,0.1490711984999859,0.4348948304017963,0.0856835717164006,0.752899386475238,0.0815089200273276,0.6876050331886248,0.4444444444444444,0.5755331088664422,0.4735523025513905,0.5765901383884743,0.9858983618813464,0.9209481599245978,0.625,0.625,0.4913378462026836,0.6249992502095232,0.625,0.625,0.1377358490566037,0.1361635220125785,0.0924076066637646,0.1355918638127428,0.0775902869997374,0.1038868793706163
29_Students_Schoolkids_Students_Schoolkids_29_380,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5857142857142856,0.0769309258162072,0.4101738539238539,0.0977384474833287,0.7546416083916084,0.0629251451663022,0.6788423330666886,0.4142857142857143,0.5857142857142857,0.4706889969461777,0.5909541136728355,0.9967535534804844,0.9125730324015656,0.6833333333333332,0.6833333333333332,0.5166406556150399,0.6833325486421673,0.6833333333333332,0.6833333333333332,0.1444444444444444,0.1444444444444443,0.09927357023628,0.1437064868549687,0.0762796426067037,0.1085260454085547
13_Interview_Interview_On_Location_13_933,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7875,0.0976281209488331,0.5480693815987934,0.0954910391515732,0.9022907239819006,0.0559989013367449,0.7924753345346204,0.2833333333333334,0.7166666666666667,0.5805108570016783,0.7193437492204143,0.9485767115679868,0.8827294432962721,0.9,0.9,0.7284320994484238,0.9,0.9,0.9,0.1478873239436619,0.1478873239436618,0.0949656535084574,0.1459264904374311,0.0744436754431663,0.1072622151410108
13_Interview_Interview_Sequences_13_764,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6166666666666666,0.1833333333333333,0.4075974025974026,0.1037396210638318,0.7670490620490622,0.1146704140164793,0.6504530486738518,0.4599999999999999,0.5399999999999999,0.4601091120271093,0.5478912226708156,0.9989250129181212,0.9587710088703048,0.74,0.74,0.5796189039679461,0.7399989131439947,0.74,0.74,0.2045454545454545,0.2009090909090908,0.11212664775857,0.1991223820287766,0.0699504647823039,0.0878593188427592
