test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
image_dall_3_139,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.0583333333333333,0.0381881307912986,0.0496703296703296,0.068971781401049,0.1056959706959707,0.0664160471584786,0.1313989611883719,0.9416666666666668,0.0583333333333333,0.0433216726422177,0.0702494802447778,0.9844365419937892,0.993946213079477,0.7,0.7,0.3635929213652394,0.7,0.7,0.7,0.175,0.175,0.0693432047379533,0.1666547420235079,0.0751894009207707,0.075393361629384
image_dall_3_147,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,1.0,-0.2003348423231196,0.0,0,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,0.1,0.1224744871391589,0.0,0.0,0.1,0.1224744871391589,0.1617487930128023,0.9,0.1,0.0021130639281306,0.1016130781048128,0.981932586270645,0.992988431845482,0.4,0.4,0.1889689382307783,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_121,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490462935191062,1.0,0.0,5.957388326392711e-05,5.939723972423611e-05,0.9862451322387898,0.9941208389394892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_124,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401248620157229,1.0,0.0,0.0040005689244652,0.0009495707954875,0.9738810855231068,0.9918771645646726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_41,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341424841321122,1.0,0.0,0.0008338184753927,3.590816132862172e-05,0.9750075046855764,0.9920632530659976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_116,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401583375365488,1.0,0.0,0.0009234361850985,0.0001828641699502,0.9513978854334294,0.9886875329006156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_94,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.035596086272576,1.0,0.0,0.0003188956747063,8.882665420078475e-06,0.9827985279201722,0.9932433113343077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_113,1.0,-0.2003348423231196,0.0,0,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.0,0.0,0.1,0.2,0.1,0.2,0.0403553959602639,1.0,0.0,0.002782070198652,0.0005191691499509,0.992170853310142,0.9951862437887156,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1999999999999999,0.0843348091924941,0.1907490764576428,0.0001192753851052,0.1999999999999999
image_dall_3_34,1.0,-0.2003348423231196,0.0,0,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,0.0,0.0,0.15,0.1224744871391589,0.15,0.1224744871391589,0.0478297659036834,1.0,0.0,0.0057085480915632,0.0003338794599231,0.9710472590205596,0.9917343359231704,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.077545750782218,0.2822221650237795,0.0590361487300482,0.0531738759271191
image_dall_3_107,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.0956179249911955,0.4431662664701647,0.2639010709,1,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,0.25,0.25,0.0333333333333333,0.0999999999999999,0.2833333333333333,0.2362907813126304,0.2999735094347528,0.75,0.25,0.1339396052681842,0.2659697524948481,0.9931469936775296,0.9969018146788068,0.5,0.5,0.2548069327870272,0.5,0.5,0.5,0.1,0.0999999999999999,0.056501644197846,0.0999995408952743,0.0999999999999999,0.0999999999999999
image_dall_3_76,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.027523625881542,1.0,0.0,0.000298887112636,2.2135963780960496e-05,0.935360212741312,0.9865718602643432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_131,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363552652774874,1.0,0.0,0.0002689598409242,8.915545109788914e-05,0.9671875628317936,0.9916103938587508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_73,1.0,-0.2003348423231196,0.0,0,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0,0.0,0.075,0.1145643923738959,0.075,0.1145643923738959,0.0518257248802582,1.0,0.0,0.0956838176649164,0.0240935613189422,0.9852938900053068,0.9940398272425258,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1146241283790239,0.2867170443903253,0.00218801204633,0.0022872951512444
image_dall_3_90,1.0,-0.2003348423231196,0.0,0,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,0.0,0.0,0.08,0.0979795897113271,0.08,0.0979795897113271,0.080869213133959,1.0,0.0,0.0310461446659126,0.0067851205207227,0.9902718568215324,0.99544132448589,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.10260909270475,0.3843690886742156,0.0007049014525832,0.0014447826653913
image_dall_3_117,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,1.0,-0.2003348423231196,0.0,0,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,0.15,0.1224744871391589,0.0,0.0,0.15,0.1224744871391589,0.2071777071580492,0.85,0.15,0.0717325355470071,0.157841323107696,0.968145083324254,0.9911362634641276,0.6,0.6,0.2962421680976808,0.5999973454177996,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_33,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0296653289790815,1.0,0.0,0.0002994308179467,9.587292575087846e-06,0.9804395722103778,0.9926512722562733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
