test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
image_dall_3_139,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,0.0956179249911955,0.4431662664701647,0.2639010709,1,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,0.0727272727272727,0.0363636363636363,0.0083333333333333,0.0249999999999999,0.0803030303030303,0.0459817906227076,0.1101281315126306,0.9272727272727272,0.0727272727272727,0.0465168695895201,0.0770078214630482,0.9673090070622484,0.9735451325703728,0.8,0.8,0.4035288598796476,0.8,0.8,0.8,0.1,0.0999999999999999,0.0587761627394394,0.0999999999999999,0.0999999999999999,0.0999999999999999
image_dall_3_147,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.045089300949659,1.0,0.0,0.0131981391541868,0.002435649573833,0.9649075025159468,0.9907118050737592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_121,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406842703378943,1.0,0.0,0.0185551782821685,0.0013526306947625,0.97966465866063,0.9931041170221104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_124,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338879054340417,1.0,0.0,0.0023006027184577,7.615295826992717e-05,0.9746540881983108,0.9920921677277638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_41,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.053184194055863,1.0,0.0,0.001527906604557,3.805472954173557e-05,0.9911497194199268,0.994984664614209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_116,0.0001138491179057,0.9589446384042888,0.8506916541,3,1.0,-0.2003348423231196,0.0,0,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.06,0.0916515138991168,0.0,0.0,0.06,0.0916515138991168,0.1061152467751482,0.94,0.06,0.0443017376074231,0.0749276961706466,0.9673198708991484,0.990802515340701,0.3,0.3,0.1873009926952613,0.2999988901151791,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_94,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.031357084276933,1.0,0.0,0.0118856167630015,0.0014876388798209,0.985382420500745,0.994171325925483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_113,1.0,-0.2003348423231196,0.0,0,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.0,0.0,0.1,0.2,0.1,0.2,0.028687620038486,1.0,0.0,0.004162637578725,0.0002077126572174,0.9829679793475992,0.9931660039719332,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1999999999999999,0.091058924229869,0.1877092137500957,0.0141007938541851,0.1999999999999999
image_dall_3_34,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0956179249911955,0.4431662664701647,0.2639010709,1,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2999999999999999,0.1,0.0142857142857142,0.0428571428571428,0.3095238095238095,0.1070105002583058,0.3389829271104095,0.7000000000000001,0.3,0.1479859842016639,0.3297651605138511,0.9355487155260124,0.974417812836892,0.45,0.4499999999999999,0.2268890355290702,0.4499988019847405,0.4499999999999999,0.4499999999999999,0.1,0.0999999999999999,0.0492938653784535,0.0999999003790144,0.0999999999999999,0.0999999999999999
image_dall_3_10,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328605120187743,1.0,0.0,0.0030222949362129,0.0002592490774313,0.9732559576984792,0.9919078118840972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_107,0.0956179249911955,0.4431662664701647,0.2639010709,1,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0333333333333333,0.0999999999999999,0.0,0.0,0.0333333333333333,0.0999999999999999,0.0644578344313279,0.9666666666666668,0.0333333333333333,0.0536438250249485,0.0570182635339424,0.9245554636349476,0.6818958359419245,0.1,0.0999999999999999,0.0545562666055636,0.0999995552416953,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_76,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386649691129618,1.0,0.0,0.0066955666646999,0.0002802596440465,0.9769711855923288,0.9923349735966528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_131,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345547420418109,1.0,0.0,0.0026359660791778,8.567649442677708e-05,0.9740956511238812,0.9912739229637358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_73,1.0,-0.2003348423231196,0.0,0,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.0,0.0,0.2833333333333333,0.2891558595482912,0.2833333333333333,0.2891558595482912,0.028405059860178,1.0,0.0,0.001006364003835,4.32418754609078e-05,0.995407762031916,0.99654764382011,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.2333333333333333,0.08809379847082,0.2235033839617045,0.0788095524987178,0.0698098432311457
image_dall_3_9,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328105243998818,1.0,0.0,0.0076989729104252,0.0007883535150801,0.9549677356489568,0.9889772718616406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_90,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343066842299775,1.0,0.0,0.0011995813070329,7.812287928129549e-05,0.9765531681439964,0.9923335403898492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_117,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,1.0,-0.2003348423231196,0.0,0,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,0.175,0.1145643923738959,0.0,0.0,0.175,0.1145643923738959,0.2089866250211831,0.825,0.175,0.1105491760059127,0.1777420496822307,0.9375563844289002,0.9882225231603334,0.7,0.7,0.4195284500221751,0.699999693927031,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_33,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.021876108258434,1.0,0.0,0.001075070851213,3.887474224972526e-05,0.9739933655997391,0.99120332298924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_87,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365426990196244,1.0,0.0,0.0025066008615718,4.141313983966923e-05,0.9938123962303498,0.9958802213304276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_4,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0,0.0,0.02,0.06,0.02,0.06,0.0496541341699656,1.0,0.0,0.0163519332539658,0.0013463672333295,0.9575495339144352,0.9902776915315598,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0999999999999999,0.0565758059223553,0.0999999999999999,0.0999999999999999,0.0999999999999999
image_dall_3_132,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.027472112009239,1.0,0.0,0.0116092810839387,0.0010766291140037,0.9850693894909364,0.9935348958528788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_16,1.0,-0.2003348423231196,0.0,0,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0,0.0,0.075,0.1145643923738959,0.075,0.1145643923738959,0.0299853439083484,1.0,0.0,0.0019129121512485,0.0001139419505947,0.9237802402633574,0.9851715374777004,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1162241110792571,0.2992561633193669,0.0090333488753118,0.004730936156446
image_dall_3_133,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270977293859362,1.0,0.0,0.0047240258240525,0.0003859848356278,0.9294293996713908,0.986705013047577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_44,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232976080366326,1.0,0.0,0.0024555684059327,3.0303353792089982e-05,0.9684227665480863,0.9911035009830756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_60,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.038561680381421,1.0,0.0,0.0070851116856847,0.0002601963394146,0.9549365708613022,0.989271072193182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_71,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335734628029487,1.0,0.0,0.0088838432442396,0.0009876234162254,0.9946993324382074,0.996405841107712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_2,0.0956179249911955,0.4431662664701647,0.2639010709,1,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.02,0.06,0.0,0.0,0.02,0.06,0.0676004522625425,0.98,0.0199999999999999,0.0680514115719037,0.0392787647415851,0.9843114441588496,0.993663875690734,0.1,0.0999999999999999,0.0836715056687444,0.0999995146598028,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_151,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,0.0001138491179057,0.9589446384042888,0.8506916541,3,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.08,0.0979795897113271,0.05,0.0763762615825973,0.1233333333333333,0.133374993491617,0.1928495291613087,0.92,0.08,0.1102370717556699,0.1050012751821396,0.9904177922739656,0.9955602379095272,0.4,0.4,0.3145643284051589,0.4,0.4,0.4,0.15,0.1499999999999999,0.0973669884019913,0.1333682472261212,0.0520589431432363,0.1499999999999999
image_dall_3_144,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391772681948378,1.0,0.0,0.0069955765537456,0.000372706933527,0.9879622788962078,0.994249090209076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_67,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0438153614478526,1.0,0.0,0.0181908709336989,0.0014391151053061,0.9826649861215144,0.9929222714316804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_19,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418808362653437,1.0,0.0,0.0499908269982149,0.0200640626866288,0.9661926934177388,0.9906463367806504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_3,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.02,0.06,0.0166666666666666,0.0499999999999999,0.0366666666666666,0.0737111479583199,0.0581926039374252,0.98,0.0199999999999999,0.0171133563633834,0.0351080566405774,0.9495379298102452,0.9889754476515582,0.1,0.0999999999999999,0.0436218336001534,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.1,0.0999999999999999,0.0702133784571311,0.0999996201067298,0.0999999999999999,0.0999999999999999
