test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
image_dall_3_139,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.0001138491179057,0.9589446384042888,0.8506916541,3,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.0222222222222222,0.0444444444444444,0.03,0.0458257569495584,0.0522222222222222,0.0523638740797696,0.0613351642799601,0.977777777777778,0.0222222222222222,0.0319778469628109,0.0269918850698128,0.9652402725311782,0.9907479161432048,0.2,0.1999999999999999,0.1982730418058708,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.3,0.3,0.2486551898482375,0.2998205900049067,0.0012947500064897,0.0018374013516135
image_dall_3_147,1.0,-0.2003348423231196,0.0,0,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.0,0.0,0.05,0.1,0.05,0.1,0.0623973014727577,1.0,0.0,0.0157407174624507,0.0004747677912772,0.984752288231842,0.9942875235479476,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1999999999999999,0.1547352866084346,0.1991502354923637,0.0028321694237559,0.1999999999999999
image_dall_3_121,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442120794355972,1.0,0.0,0.0809610335328278,0.0161410720317788,0.9744832797184544,0.991558900528632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_124,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428841717749493,1.0,0.0,0.0229367647316474,0.0009997835524824,0.9828589708004988,0.993509903618759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_41,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0788760773851736,1.0,0.0,0.0330801018714836,0.0021470144669031,0.9971266127252174,0.9971093990295252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_116,0.0956179249911955,0.4431662664701647,0.2639010709,1,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.02,0.06,0.0,0.0,0.02,0.06,0.059938552335271,0.98,0.0199999999999999,0.0717175528525006,0.0334465497599319,0.9576167726104512,0.989639168921383,0.1,0.0999999999999999,0.0962890211258111,0.0999997820502544,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_94,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0522368274761027,1.0,0.0,0.0247321296359195,0.0001758320132021,0.9953650693806498,0.996516566519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_113,0.0956179249911955,0.4431662664701647,0.2639010709,1,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.1,0.3,0.0,0.0,0.1,0.3,0.1406744075794348,0.9,0.0999999999999999,0.1374487621806177,0.1043935508753165,0.9931129665271844,0.99587660680027,0.1,0.0999999999999999,0.096669727874716,0.0999998359141188,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_34,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693392067927232,1.0,0.0,0.049624556924076,0.025291667672076,0.9472612793744956,0.9900300741969356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_107,1.0,-0.2003348423231196,0.0,0,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.0,0.0,0.3,0.0999999999999999,0.3,0.0999999999999999,0.0358025554314432,1.0,0.0,0.0179368248344501,0.0005835164890811,0.7807362069143745,0.9729893228368904,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8903045830901483,0.9,0.0044078541665466,0.0035192184279017
