test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
image_top184,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159077839909096,1.0,0.0,0.0001184786211909,9.22383951625294e-06,0.6200138615078982,0.959378791402948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_top190,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.033466048742083,1.0,0.0909090909090908,0.1969024481859813,0.1179283669564791,0.9322117097285162,0.9869819023427177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_top43,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319622549651512,1.0,0.0,0.0322393528271338,0.0170333532997028,0.7814150880745845,0.97359729827375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_top442,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0331513182274624,1.0,0.0,0.0032128944733527,0.0003931231491842,0.8448787102204207,0.977418020359321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_top175,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229047344261361,1.0,0.0,0.0036192897826284,0.0007438284847544,0.9302376374353424,0.9863563063020716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_open8,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,1.0,-0.2003348423231196,0.0,0,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.125,0.125,0.0,0.0,0.125,0.125,0.1580633180445556,0.875,0.125,0.1273200543257703,0.1254363583706887,0.8764764415478481,0.9820151059180668,0.5,0.5,0.4953339541518892,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
image_top371,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306669436447399,1.0,0.0,0.0018608328713941,0.000128774066601,0.7916928761493782,0.9743504298430694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_top358,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.031608744598969,1.0,0.0,0.0054440234539418,0.0013221418150311,0.7854445377862315,0.9738676913257018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_top348,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0,0.0,0.02,0.06,0.02,0.06,0.0304444145894315,1.0,0.0,0.0008222956831092,8.031096631609194e-05,0.9449838972661322,0.988595330834902,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0999999999999999,0.0996194536869159,0.0999999999999999,0.0999999999999999,0.0999999999999999
image_top552,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404584431375886,1.0,0.0,0.0017082777578087,0.0002303729225446,0.7856407589369261,0.9732616544835228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_top189,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222857723828308,1.0,0.0,0.004310441925537,0.0001736044334458,0.7703894113781423,0.9740025871338768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_top284,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186023892673746,1.0,0.0,0.0018719436433236,0.0002133210287495,0.6475008943424267,0.9636620397070976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
