test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
image_top184,1.0,-0.2003348423231196,0.0,0,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0,0.0,0.2299999999999999,0.3661966684720111,0.2299999999999999,0.3661966684720111,0.1935731172983381,1.0,0.0,0.0046389529526868,0.0030689570050387,0.9975516023208848,0.997559156800094,0.0,0.0,0.0,0.0,0.0,0.0,0.11875,0.1187499999999999,0.0868693918891998,0.1166416295690386,0.0812511768702854,0.1187499999999999
image_top190,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,0.2,0.4000000000000001,0.3640550239234449,0.4461685648667134,0.564055023923445,0.4620004098546283,0.3492030590817975,0.8,0.1999999999999999,0.1262669082649343,0.2022459479708482,0.9985650137215252,0.9980141433757138,0.2,0.1999999999999999,0.1723365387929548,0.1999998336167848,0.1999999999999999,0.1999999999999999,0.18,0.1799999999999999,0.135352347471491,0.1731978479195119,0.0360125543262495,0.144014770638283
image_top43,1.0000000000000001e-20,2.9412578112666736,1.0,10,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.425,0.1600781059358212,0.4467316017316017,0.2971670625377062,0.6616991341991343,0.2485859187126565,0.5907724019713361,0.575,0.425,0.2730243395122123,0.4475166035802352,0.99164131356727,0.9966275861420534,0.425,0.425,0.2648472237652805,0.4249990557664691,0.425,0.425,0.2296296296296296,0.2296296296296295,0.1103457051105781,0.2179296672017486,0.0561777868000769,0.0974658474766471
image_top442,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2,0.1,0.3783229813664596,0.2559590754158682,0.4994565217391304,0.214453859338538,0.4126273589293851,0.7999999999999999,0.1999999999999999,0.1804814101823425,0.2029886571543907,0.9987581995567714,0.9981781612877644,0.3999999999999999,0.3999999999999999,0.3559297991997587,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.208,0.2079999999999999,0.1811706841366803,0.2059312824033417,0.0172661004866246,0.1722094879118579
image_top175,1.0,-0.2003348423231196,0.0,0,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0,0.0,0.27,0.4124318125460256,0.27,0.4124318125460256,0.1321856743801459,1.0,0.0,0.1209237510767912,0.0459508056623216,0.997709872943462,0.9970661159065336,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1075342506176662,0.2997499068268316,8.805490849090387e-05,0.0004969703646522
image_open8,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,0.3,0.3144660377352201,0.3246428571428571,0.3558636017650927,0.5189285714285714,0.3725458052161197,0.4935002754039141,0.7000000000000001,0.3,0.3529657639659291,0.3227756373300438,0.9917099219584096,0.9957449749941852,0.45,0.45,0.4438889568867172,0.4499990994130592,0.45,0.45,0.1305555555555555,0.1305555555555554,0.1035425081848333,0.1257593477622681,0.0750073979426351,0.1138970397345004
image_top371,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1666666666666666,0.2236067977499789,0.3974603174603174,0.2286314405345577,0.4946031746031746,0.2595176932437862,0.3909627965409758,0.8333333333333334,0.1666666666666666,0.0913683752543758,0.1717301691089241,0.996890736743668,0.9972852159250176,0.25,0.25,0.1727617622198725,0.2499992755860089,0.25,0.25,0.1607142857142856,0.1607142857142856,0.1022632615623964,0.1546490221580425,0.0572930861523227,0.1287262071501066
image_top358,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3,0.15,0.3043822843822844,0.2394445215671139,0.5116200466200466,0.2090400603558705,0.4725400528416181,0.7,0.2999999999999999,0.3814733623433753,0.3309543194103927,0.992936513292314,0.9959873103753388,0.3,0.2999999999999999,0.2894739952004629,0.2999999064829927,0.2999999999999999,0.2999999999999999,0.1590909090909091,0.1590909090909091,0.1170651227349493,0.1512566243049572,0.051119860035692,0.1462913947501129
image_top348,1.0,-0.2003348423231196,0.0,0,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,0.0,0.0,0.2015560640732265,0.3129600434798962,0.2015560640732265,0.3129600434798962,0.1751603400263445,1.0,0.0,0.0680496532015212,0.0263869348147383,0.9969718282451092,0.9974006342369498,0.0,0.0,0.0,0.0,0.0,0.0,0.1241379310344827,0.1241379310344827,0.10603514346504,0.1241211175981346,0.0758646594320603,0.1241379310344827
image_top552,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.45,0.291547594742265,0.4661904761904762,0.2906513913479807,0.7015476190476191,0.2525460208167721,0.6005881940893519,0.5499999999999999,0.45,0.376737241818991,0.4662340172935166,0.9922359982680202,0.9960307207596648,0.45,0.45,0.3496382919673513,0.4499993036715876,0.45,0.45,0.2571428571428571,0.2571428571428571,0.1475860574861813,0.2397202086924539,0.0899032908234169,0.1092185643311762
image_top189,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.3,0.1795054935711501,0.4555,0.3225248052475964,0.5986666666666667,0.3028831824684597,0.4383417147684779,0.7000000000000001,0.3,0.2431492151828744,0.311797036025307,0.9992021976053592,0.9321769204595394,0.45,0.45,0.3490030123696869,0.4499990253498309,0.45,0.45,0.1999999999999999,0.1999999999999999,0.1252187392449976,0.187481618757496,0.0573817202695803,0.0883556925902136
image_top284,1.0,-0.2003348423231196,0.0,0,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.0,0.0,0.3698412698412698,0.3954770744330401,0.3698412698412698,0.3954770744330401,0.2549058559584581,1.0,0.0,0.2584172428593931,0.1179795072412883,0.9985072191764144,0.9978555063318568,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0981797521850522,0.1654450136594683,0.0551566520644096,0.0752150601267337
image_top317,1.0,-0.2003348423231196,0.0,0,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.0,0.0,0.2932307692307692,0.2459770518954391,0.2932307692307692,0.2459770518954391,0.1839078476039971,1.0,0.0,0.0497777955112948,0.0187199136127978,0.999073457850872,0.9987541024447666,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.1479999999999999,0.1123349458873048,0.1429271004717172,0.0640150073348898,0.1280333418367449
image_open25,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,0.5,0.5,0.3841991341991342,0.4007419539785287,0.6766233766233766,0.4453030676528692,0.7022015085643972,0.5,0.5,0.3949155239515003,0.5031005391711403,0.9986489728942318,0.997842587778359,0.5,0.5,0.4147243741809193,0.5,0.5,0.5,0.1611111111111111,0.1611111111111111,0.0839273755984008,0.1609580226744606,0.0557248291008723,0.1222328307265866
image_top156,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,0.2666666666666666,0.2905932629027115,0.2735897435897436,0.2706745172344063,0.4702564102564103,0.3239126350341705,0.4406387038360466,0.7333333333333334,0.2666666666666666,0.2598264521015803,0.2679941719784132,0.9943549658048138,0.9957094598809264,0.4,0.4,0.386852844290405,0.4,0.4,0.4,0.1571428571428571,0.1571428571428571,0.0957048373256421,0.1569556697332129,0.0575323575061784,0.1145573884610884
image_top339,1.0,-0.2003348423231196,0.0,0,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.0,0.0,0.4017316017316017,0.4029954276948773,0.4017316017316017,0.4029954276948773,0.2050586791586686,1.0,0.0,0.0580594846705656,0.0204407123935869,0.9993792680418092,0.9987387492262388,0.0,0.0,0.0,0.0,0.0,0.0,0.2866666666666665,0.2866666666666665,0.0951511187635885,0.2843067561780512,0.0334956703488387,0.047196303662051
image_top274,0.0001138491179057,0.9589446384042888,0.8506916541,3,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.15,0.2291287847477919,0.3392424242424242,0.4174370013999011,0.4100757575757575,0.4255264726496106,0.3935007827059,0.8500000000000001,0.1499999999999999,0.2395036087233717,0.1812825542499901,0.9987457158833464,0.9981012291523998,0.15,0.1499999999999999,0.1441628060243574,0.1499997533429556,0.1499999999999999,0.1499999999999999,0.36,0.36,0.1774492798363758,0.3382308062596824,0.0134129649163526,0.1300367548695374
image_top198,1.0,-0.2003348423231196,0.0,0,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0001138491179057,0.9589446384042888,0.8506916541,3,0.0,0.0,0.1579710144927536,0.2839581309309933,0.1579710144927536,0.2839581309309933,0.2499857296698167,1.0,0.0,0.0866816984389056,0.0434556236234403,0.9988528675929572,0.9983164625156412,0.0,0.0,0.0,0.0,0.0,0.0,0.1095238095238095,0.1095238095238095,0.0981251314387468,0.1086155563268404,0.096357900585041,0.0956063980037104
image_open7,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,0.1,0.3,0.1864035087719298,0.3728702216805016,0.1947368421052631,0.3896514530290442,0.348504551755762,0.9,0.0999999999999999,0.0954710051226088,0.099997287332061,0.9978001169190251,0.996847832038111,0.1,0.0999999999999999,0.0994203791893262,0.099999728733206,0.0999999999999999,0.0999999999999999,0.1208333333333333,0.1208333333333333,0.1143804251177549,0.1207978987023864,0.0791679033039854,0.1208333333333333
image_top16,0.0956179249911955,0.4431662664701647,0.2639010709,1,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.1,0.3,0.4366560340244551,0.443056792265708,0.4699893673577883,0.4707795273256114,0.2725892937727509,0.9,0.0999999999999999,0.1057813378629185,0.1018531616074271,0.9993805570318974,0.9987780864186584,0.1,0.0999999999999999,0.0990510905525069,0.0999999687671761,0.0999999999999999,0.0999999999999999,0.2185185185185184,0.2185185185185184,0.1416379093016734,0.2099165077475323,0.0444566049766617,0.0963648036848342
