test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
0_Parade_marchingband_1_149,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1333333333333333,0.0509175077217315,0.2370050726024834,0.108980867883419,0.3414442311994946,0.0838774878770305,0.2436458334472881,0.8666666666666667,0.1404882154882155,0.1210928208486908,0.1410562745466555,0.8091828880152203,0.960769231848948,0.48,0.48,0.3935586392381124,0.4799993265840491,0.48,0.48,0.1447058823529411,0.1447058823529411,0.1015158503999314,0.1437546319271076,0.0762931439919899,0.1076713492512018
35_Basketball_Basketball_35_180,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2,0.0612372435695794,0.242787857810068,0.0880806716204048,0.394581234823865,0.0800195641654395,0.3072035814726028,0.8,0.2,0.1737022065798468,0.2031778635777184,0.8770616195497825,0.9715930105397173,0.6399999999999999,0.64,0.5321675239486272,0.6399990527388114,0.64,0.64,0.1421052631578947,0.1421052631578946,0.1030834040531727,0.1417160965977471,0.071941985161663,0.1189771320378139
12_Group_Group_12_Group_Group_12_28,9.910000000000005e-18,2.297756702473389,0.9999999909,9,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0541666666666666,0.0325427069829443,0.0700228200917856,0.0548477205729936,0.1205771546461201,0.0576740459141984,0.1693137185216026,0.9458333333333332,0.0768162393162393,0.0491205120704431,0.0655044927789882,0.9125653971972632,0.9767353837297648,0.325,0.3249999999999999,0.2175557041274192,0.324999571035371,0.3249999999999999,0.3249999999999999,0.1461538461538462,0.1461538461538461,0.0994194428233222,0.1458038316970201,0.0773252720809487,0.0925346121705537
12_Group_Group_12_Group_Group_12_417,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0538461538461538,0.035250582268891,0.2398619096761511,0.1033318900962622,0.2816330040788246,0.0931326082075828,0.160082081523455,0.9461538461538462,0.0538461538461538,0.0659675813356917,0.0614566170327709,0.8519567107946678,0.9797866869517852,0.7,0.7,0.6056515945941269,0.6999991017915614,0.7,0.7,0.1466666666666666,0.1466666666666666,0.0986416200891335,0.1460553387728423,0.0788753999582062,0.1071305438089047
12_Group_Team_Organized_Group_12_Group_Team_Organized_Group_12_458,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0666666666666666,0.0333333333333333,0.1602005111593212,0.0734773003477321,0.2183823541066104,0.0451037558249773,0.1617251958050584,0.9333333333333332,0.0717171717171717,0.0658692549184866,0.0713899913356033,0.8365779862480569,0.9786333674269084,0.6,0.6,0.4593922137237928,0.5999977863982241,0.6,0.6,0.15,0.15,0.1061748457499289,0.1493859570561293,0.0775802472673503,0.1101559525447315
55_Sports_Coach_Trainer_sportcoaching_55_516,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1333333333333333,0.0555328751890028,0.1261126978055449,0.0871764239490889,0.2416161703861563,0.0948015849583405,0.2340466319958173,0.8666666666666666,0.1333333333333333,0.1307126267893232,0.1371301684355936,0.8802778002584407,0.9640712859765528,0.7,0.7,0.5854905290678402,0.6999979218577328,0.7,0.7,0.1269230769230769,0.1269230769230769,0.0954695707389992,0.1264988104224232,0.0874006962069511,0.1045479179407834
20_Family_Group_Family_Group_20_255,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3961538461538462,0.0621365170053981,0.1907996450049711,0.0580622504907197,0.5138340829631807,0.036307223816611,0.5069362908641589,0.6038461538461538,0.3996503496503496,0.3394103315218345,0.405664055778528,0.968825760623377,0.940377378581628,0.6866666666666666,0.6866666666666666,0.5568684435986218,0.6866653998662379,0.6866666666666666,0.6866666666666666,0.1369565217391304,0.1369565217391303,0.0958627751396113,0.1367536176049145,0.0824898960725684,0.1049631316249639
2_Demonstration_Protesters_2_738,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3291666666666667,0.0842656184006528,0.3149285067706119,0.0604978390127139,0.5428623231912705,0.0560099001079315,0.4606743614269677,0.6708333333333333,0.361734792984793,0.2875195076239802,0.3661294277477163,0.9823600766179136,0.9694753734245238,0.4937499999999999,0.4937499999999999,0.3828912500259122,0.4937497860901589,0.4937499999999999,0.4937499999999999,0.1712121212121212,0.1712121212121212,0.0961772416828467,0.1693513925294165,0.0924634217655189,0.1014973650364755
20_Family_Group_Family_Group_20_579,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0818181818181818,0.0272727272727272,0.140440637793579,0.1013667037755973,0.2102490646608293,0.0999108109818329,0.2150219523844384,0.918181818181818,0.0969696969696969,0.0991071364061058,0.0992984608625163,0.9733881846101532,0.9844991846108884,0.9,0.9,0.7704819792825957,0.9,0.9,0.9,0.1176470588235294,0.1176470588235293,0.0877446480812657,0.1159016944265541,0.0941419489453661,0.094175827904679
50_Celebration_Or_Party_birthdayparty_50_43,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0705882352941176,0.0352941176470588,0.1684166443777427,0.0752282990666803,0.2261861262083364,0.0848699978831962,0.1934820138607628,0.9294117647058824,0.0759358288770053,0.0683743399989382,0.084878879992551,0.9178764310262352,0.9741706871895716,0.3,0.3,0.2001899710136765,0.2999998671292647,0.3,0.3,0.1636363636363636,0.1636363636363636,0.1050726051169639,0.1630106038997771,0.0849404205793817,0.0842224021452539
58_Hockey_icehockey_puck_58_825,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0576923076923076,0.0310086836473021,0.0994849228553344,0.0591375041158105,0.1516489714709959,0.0598863625016055,0.1624183220035233,0.9423076923076924,0.0576923076923076,0.0575078326225276,0.0633489070760622,0.8104349163810587,0.9764562752366156,0.4999999999999999,0.4999999999999999,0.3674884159830848,0.4999997568881444,0.4999999999999999,0.4999999999999999,0.12,0.1199999999999999,0.0933600275689031,0.1197498690212927,0.0852022295533864,0.1199999999999999
20_Family_Group_Family_Group_20_101,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0294117647058823,0.0394600231323492,0.16753603376029,0.0510951379118274,0.1915199064855815,0.0640551812596998,0.1478970050394215,0.9705882352941176,0.0836007130124777,0.0401792531698535,0.0642955552931751,0.9170698595359684,0.9855137307545464,0.25,0.25,0.1586169769510848,0.2499998346874162,0.25,0.25,0.1590909090909091,0.159090909090909,0.1002799324376677,0.1579975331160821,0.0783135034827104,0.1149789104700519
40_Gymnastics_Gymnastics_40_891,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.06,0.0290593262902711,0.1407098730628142,0.0420711595752458,0.1921835107129224,0.0485726617040381,0.1667275179616791,0.94,0.06,0.0591875596601702,0.0628870958634908,0.847411226716149,0.9725815601474892,0.6,0.6,0.4901209035712283,0.5999983928263449,0.6,0.6,0.1666666666666666,0.1666666666666665,0.1099425671479053,0.1657588883091526,0.077223951024304,0.0981000139678883
12_Group_Large_Group_12_Group_Large_Group_12_550,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2636363636363636,0.0970643477457392,0.2941050325219828,0.0599610358597209,0.4815985408834489,0.0713344118519501,0.3969652161556569,0.7363636363636363,0.3121469944197216,0.2281833274897838,0.2975922468429247,0.9581431887212666,0.9684311937410712,0.4833333333333333,0.4833333333333333,0.3687371896333553,0.4833328340877947,0.4833333333333333,0.4833333333333333,0.132394366197183,0.132394366197183,0.0945603231438617,0.1310020310513597,0.0825615238970508,0.1059772874376418
16_Award_Ceremony_Awards_Ceremony_16_25,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0499999999999999,0.0408248290463863,0.1558608058608058,0.0930871503824049,0.1992216117216117,0.0842351975336648,0.161630019945234,0.95,0.0638888888888888,0.058415310184508,0.0580491635034079,0.9142500267351552,0.9846217323300474,0.6,0.6,0.4333850987756871,0.6,0.6,0.6,0.1411764705882353,0.1411764705882353,0.0997923437927125,0.1407210504176866,0.0725622537774294,0.1060488142188176
20_Family_Group_Family_Group_20_294,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1103448275862069,0.0258045337018892,0.1115554633774073,0.0599340571132729,0.2103708777074651,0.0474010908767975,0.1842195328985587,0.9214285714285714,0.0887755102040816,0.0758246533291506,0.0883487580804279,0.8560689447745251,0.9732247963721756,0.64,0.64,0.5042866147500584,0.6399998849243703,0.64,0.64,0.1310344827586207,0.1310344827586207,0.0949149756953315,0.1305851884182474,0.0868350929306437,0.0968605068841777
40_Gymnastics_Gymnastics_40_273,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2842105263157894,0.0467799706174504,0.0957141101403782,0.0586159934308837,0.352393527919758,0.0614137593831844,0.3185610550325876,0.7771428571428572,0.2374891774891775,0.1791697448823397,0.2355391506291217,0.8738290732983275,0.9671822831595236,0.72,0.72,0.5687347517203685,0.719999496243709,0.72,0.72,0.13125,0.1312499999999999,0.0941191852923633,0.1310157821316638,0.0835190945204469,0.1039824190568839
35_Basketball_basketballgame_ball_35_197,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.075,0.0583333333333333,0.3487259592832348,0.0635075908508755,0.3970931841636176,0.0720367632732215,0.2202724609166235,0.9250000000000002,0.1315656565656565,0.0793034322336369,0.1039233095554443,0.9738288220085494,0.9920218440602064,0.3,0.3,0.2343773104940362,0.2999998334318328,0.3,0.3,0.1783783783783783,0.1783783783783783,0.0981948754816738,0.1769785847850198,0.094671523443499,0.1020231051808128
11_Meeting_Meeting_11_Meeting_Meeting_11_349,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3081081081081081,0.0582179979149676,0.2566790908896171,0.0610357049136606,0.4834109847267742,0.0808141915298307,0.4024011196065318,0.7314285714285715,0.3045764235764236,0.220423741600285,0.2836508555877748,0.8456303180922526,0.9583084587529586,0.5181818181818181,0.5181818181818181,0.4192375936002207,0.5181813265667382,0.5181818181818181,0.5181818181818181,0.177027027027027,0.1758445945945946,0.1049765395540793,0.1716836647796654,0.0759692225683464,0.1054789688875479
20_Family_Group_Family_Group_20_33,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0208333333333333,0.0208333333333333,0.1123431664121319,0.0650490941693619,0.1307694808384463,0.0664525689428648,0.1210083767679679,0.9791666666666666,0.0246212121212121,0.033863723370716,0.0279368303276075,0.8311177183213418,0.9781990787675492,0.5,0.5,0.3786759972432387,0.4999977713499602,0.5,0.5,0.128,0.128,0.0928276494040746,0.1271753678392669,0.0886710987639472,0.0962794999518678
44_Aerobics_Aerobics_44_343,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3272727272727273,0.0701565872896377,0.3024455535025145,0.0917521911937936,0.5333628504822263,0.0627029036660569,0.4772766527171941,0.6727272727272728,0.3606552538370721,0.2681898334437879,0.3519688929484668,0.895071551522361,0.9553572173907736,0.4695652173913043,0.4695652173913043,0.3701079085555253,0.4695641369652574,0.4695652173913043,0.4695652173913043,0.1572916666666667,0.1572916666666667,0.1033216887103907,0.1565166300648961,0.0799079891733469,0.0991900919455908
20_Family_Group_Family_Group_20_759,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0999999999999999,0.0349927106111882,0.3090757575757575,0.1586339341174074,0.3802052669552669,0.1364724200802072,0.1646171546152444,0.9692307692307692,0.1008555547017085,0.0467591135731075,0.0754383735603176,0.946299621866587,0.9883747522812306,0.4666666666666667,0.4666666666666666,0.3723748567696317,0.4666651774412305,0.4666666666666666,0.4666666666666666,0.15,0.15,0.1025073757522607,0.1491266451295761,0.1124627241571425,0.1009517269478458
12_Group_Group_12_Group_Group_12_522,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0789473684210526,0.0539313198208399,0.2040276679841897,0.0581081985694117,0.2667832674571804,0.0723322261533398,0.1803689736646342,0.9210526315789472,0.0925039872408293,0.0731967030685549,0.0928932540660915,0.895084520027078,0.983068228619024,0.5,0.5,0.342503696542095,0.4999986422773672,0.5,0.5,0.15625,0.1562499999999999,0.1012087047739964,0.1552525265734424,0.0876887874592795,0.1047711337074597
12_Group_Group_12_Group_Group_12_912,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2066666666666667,0.0553774924194538,0.2259080870110282,0.1213376638477866,0.385671426612603,0.1051369897586142,0.2670940787201231,0.8499999999999999,0.182312925170068,0.130902368375356,0.1698962203613952,0.930799589288622,0.9668120490173068,0.775,0.775,0.6118545107354214,0.7749997268986552,0.775,0.775,0.1256410256410255,0.1256410256410255,0.0952110313228774,0.1255114547327815,0.0859668701957853,0.1080087688607958
12_Group_Group_12_Group_Group_12_84,1.0,-0.2003348423231196,0.0,0,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,0.0,0.0,0.0724358974358974,0.0543966064707097,0.0724358974358974,0.0543966064707097,0.1135458036916255,1.0,0.0552175097629643,0.0385475183071008,0.0257222603792914,0.9529548994585691,0.9892126190149226,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0999999999999999,0.0768128928837787,0.099999914119558,0.0999999999999999,0.0999999999999999
37_Soccer_soccer_ball_37_851,1.0,-0.2003348423231196,0.0,0,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.0,0.0,0.044313725490196,0.0541133843163444,0.044313725490196,0.0541133843163444,0.1186125723950819,1.0,0.0183982683982683,0.0322547940392156,0.0189959300005214,0.945742066564709,0.988309993242094,0.0,0.0,0.0,0.0,0.0,0.0,0.1399999999999999,0.1399999999999999,0.101136174725539,0.1395485191959191,0.0800098232265397,0.0800687973736206
