test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
38_Tennis_Tennis_38_758,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5399999999999999,0.0916515138991167,0.4561147186147186,0.181855291834865,0.7433549783549783,0.1260427376167605,0.5269731035522284,0.5750000000000001,0.4964285714285714,0.3824127827654142,0.4661877393803753,0.9741410266994416,0.9242714863403028,0.9,0.9,0.7511418716380067,0.8999987207533531,0.9,0.9,0.131578947368421,0.131578947368421,0.089762112918187,0.1312732654289595,0.0879638016052481,0.0977394184383706
38_Tennis_Tennis_38_23,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6,0.1224744871391589,0.7340776085512928,0.0689519705646746,0.8949554709423131,0.0437155011945027,0.566601380413571,0.5333333333333333,0.5222222222222223,0.4265155212285483,0.5150589647339173,0.9631562156815286,0.9269126277450828,0.8000000000000002,0.8000000000000002,0.6144215497680788,0.7999975233411348,0.8000000000000002,0.8000000000000002,0.1435294117647059,0.1425490196078431,0.0972245852014035,0.1423841445081413,0.0849470562237041,0.098402814805471
44_Aerobics_Aerobics_44_407,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4666666666666667,0.1632993161855452,0.5458225108225109,0.2012435757503701,0.7666594516594517,0.0939065948419608,0.5909319045528926,0.5333333333333333,0.4666666666666666,0.3889399285391914,0.4712008333351414,0.9608258199810312,0.9635162643302452,0.7,0.7,0.5520771844690431,0.6999982364565915,0.7,0.7,0.1666666666666666,0.1666666666666666,0.0994602958398553,0.1635189631626179,0.0770287844695293,0.0935952009795665
41_Swimming_Swimming_41_161,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.711111111111111,0.1507184440694504,0.4950117916139588,0.0864031459808107,0.8511119466189125,0.0825367206282889,0.7837919597701593,0.325,0.6857142857142857,0.5171134273424831,0.6969540095175375,0.9709686930362206,0.9481714634488452,0.711111111111111,0.711111111111111,0.5456274336486481,0.7111105929546419,0.711111111111111,0.711111111111111,0.1253333333333333,0.1253333333333333,0.0921285803850527,0.1245968742777631,0.0883423801316439,0.1135475825646038
38_Tennis_Tennis_38_558,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.4625,0.1772180859844728,0.5182392507160309,0.0878616097236527,0.7487379285947398,0.0817267853905919,0.6109160522819455,0.5375,0.4738636363636363,0.4282979337403224,0.485242571158782,0.9934929302321224,0.9970052085679436,0.6166666666666668,0.6166666666666668,0.4950613320977681,0.6166649791209527,0.6166666666666668,0.6166666666666668,0.1409090909090909,0.1409090909090909,0.0951840202262291,0.1397578444830887,0.0829596221037937,0.0973239770188787
13_Interview_Interview_On_Location_13_791,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6783783783783784,0.110414584950354,0.4683228684803369,0.0345455627335526,0.8322966013791537,0.0475817743450969,0.7540849603292614,0.3606060606060606,0.646590909090909,0.4857552107048636,0.6564310298116434,0.9487343661691688,0.9300476906503324,0.6783783783783783,0.6783783783783783,0.5134292568181725,0.6783776703774723,0.6783783783783783,0.6783783783783783,0.1559241706161137,0.1555028962611901,0.0982669014028579,0.1542176406837685,0.0786481234796916,0.1111006838278933
47_Matador_Bullfighter_matadorbullfighting_47_777,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.3,0.2449489742783178,0.4864285714285714,0.2542786917168335,0.6357142857142857,0.244615483348617,0.4173516656991383,0.7,0.3,0.3088600258555355,0.3054138754977109,0.9800273636770812,0.9940345319798504,0.6,0.6,0.5159781225276048,0.6,0.6,0.6,0.1173913043478261,0.117391304347826,0.0867523534224731,0.1173387739141795,0.0896168285113825,0.1046951688488604
29_Students_Schoolkids_Students_Schoolkids_29_506,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5444444444444445,0.1356283957303745,0.4176261909446053,0.1026822416842379,0.7419947092549395,0.0759651606899724,0.681632021412822,0.4555555555555555,0.5694444444444444,0.3732004896752792,0.5774811820572199,0.9768546122733294,0.9545951752370204,0.5444444444444444,0.5444444444444444,0.3742354982117473,0.5444441358717411,0.5444444444444444,0.5444444444444444,0.1428571428571428,0.1428571428571428,0.1010972380556071,0.1421980874216329,0.0833138445023351,0.1188651052173228
1_Handshaking_Handshaking_1_457,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6125,0.1419727086450068,0.3582450882450882,0.0874851544717899,0.750548618048618,0.0953302055140254,0.7319262998743937,0.3874999999999999,0.6578296703296703,0.4761595525758709,0.6479017444333826,0.9500833322213192,0.9350107682053832,0.6125,0.6125,0.4742128895675299,0.612499345522773,0.6125,0.6125,0.1270270270270269,0.1270270270270269,0.090503859891344,0.1261723804443943,0.0866675277429264,0.0974265130114248
32_Worker_Laborer_Worker_Laborer_32_400,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.72,0.0979795897113271,0.6449227458128387,0.1044112969910344,0.8963602801567199,0.0586913547336894,0.7293326350217322,0.35,0.6916666666666667,0.5127587521401611,0.6734786456276642,0.9435826954399626,0.8979497040476593,0.9,0.9,0.7057765355876151,0.8999995649008684,0.9,0.9,0.1275,0.1275,0.0891385957962478,0.1266912006735386,0.0872568329528491,0.1015195363875021
31_Waiter_Waitress_Waiter_Waitress_31_195,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3714285714285713,0.1309307341415954,0.4064063714063713,0.0982759362211963,0.6286546786546786,0.0927312374703298,0.4926159341415245,0.6285714285714287,0.4173826173826173,0.3279232338563535,0.4055385915036008,0.938039103008986,0.9341663187898456,0.65,0.65,0.5095053866098046,0.6499998046670046,0.65,0.65,0.124390243902439,0.124390243902439,0.0874599671347213,0.1237025433384777,0.0872983006010618,0.1028480297143397
