test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
35_Basketball_Basketball_35_180,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.238095238095238,0.0476190476190476,0.1951452991452991,0.0508378130402361,0.3872861212861213,0.0478308837996663,0.3653059061533608,0.7619047619047619,0.2455026455026455,0.1822278802196465,0.2492514072053851,0.9023811063195862,0.9810511313267536,0.4999999999999999,0.4999999999999999,0.3720796641715447,0.4999994628083361,0.4999999999999999,0.4999999999999999,0.1677419354838709,0.1677419354838709,0.1062195102015409,0.1669214728426648,0.0740246490873085,0.1034282825223537
12_Group_Group_12_Group_Group_12_28,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0375,0.0291666666666666,0.0784517704517704,0.0429928386199835,0.1131357346357346,0.0468457103929409,0.1635831390954488,0.9625,0.0602403846153846,0.0301977162061805,0.0532741812736819,0.9307096909290468,0.986345072268828,0.3,0.3,0.1513820414537371,0.2999988184878542,0.3,0.3,0.15,0.15,0.1044937029646865,0.1490857058759071,0.0650978402251781,0.1287410358231974
12_Group_Group_12_Group_Group_12_417,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.25,0.0456435464587638,0.1860909320346603,0.0698186220820636,0.3913584024265991,0.0431065505327837,0.3807203614966303,0.75,0.25,0.2165848114770718,0.259014771048181,0.928803139810551,0.9792759361979894,0.4615384615384614,0.4615384615384614,0.3667659149528571,0.4615377107206836,0.4615384615384614,0.4615384615384614,0.1425,0.1425,0.0992528781954422,0.1418849883948634,0.0815859833941416,0.1002971733584363
12_Group_Team_Organized_Group_12_Group_Team_Organized_Group_12_458,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1055555555555555,0.0166666666666666,0.136612677939909,0.0430087109032683,0.2277826978513477,0.0401590423242398,0.1664814102205815,0.9470588235294118,0.0582887700534759,0.0591165846251141,0.0569038287127209,0.8927023369832394,0.9776417455827277,0.95,0.95,0.8162970166760282,0.9499981124206548,0.95,0.95,0.1318181818181818,0.1318181818181818,0.0988177532773158,0.1317415665514937,0.0766671329121964,0.1184243230629151
55_Sports_Coach_Trainer_sportcoaching_55_516,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2241379310344827,0.0743581332856821,0.1137888982958517,0.0647109899694221,0.3107533497336429,0.0975784582509223,0.3104896886772555,0.8035714285714286,0.202056277056277,0.1795769139696987,0.2053237195027535,0.9144617070966434,0.971674205147699,0.5416666666666666,0.5416666666666666,0.4553333411338592,0.5416658541623797,0.5416666666666666,0.5416666666666666,0.13,0.13,0.0962591819026214,0.1292891243118026,0.0786795092988533,0.1168497836624737
20_Family_Group_Family_Group_20_255,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2428571428571428,0.0751415897050452,0.2043476274683171,0.0502920612900743,0.3994006989179403,0.0521607472019667,0.3379406668462524,0.7949999999999999,0.205,0.1782008104996075,0.2137983235837352,0.9613721008004724,0.9826300313882608,0.5666666666666667,0.5666666666666667,0.4501966723333317,0.5666663193944123,0.5666666666666667,0.5666666666666667,0.1571428571428571,0.1571428571428571,0.1062686082782329,0.1563684454387061,0.0730728810803945,0.103551859433179
20_Family_Group_Family_Group_20_579,1.0,-0.2003348423231196,0.0,0,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,1.1687791600000004e-12,1.781978330539265,0.9998563141,7,0.0,0.0,0.0787878787878788,0.0589937040422175,0.0787878787878788,0.0589937040422175,0.097540937838687,1.0,0.0,0.0147816531906711,0.0017838901761872,0.9572202364230886,0.9895052213645265,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1499999999999999,0.0977194420731081,0.1484626348214155,0.0519721529457919,0.1499999999999999
50_Celebration_Or_Party_birthdayparty_50_43,1.0000000000000001e-20,2.9412578112666736,1.0,10,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1869565217391304,0.0616410733859035,0.1333669038496625,0.0680107160224512,0.2921067878759033,0.1034127537285823,0.3050853562511345,0.8130434782608695,0.1942028985507246,0.172138220461274,0.2052578672886473,0.9318050164425892,0.979019784855818,0.5375,0.5375000000000001,0.4378614185852879,0.5374996374103265,0.5375000000000001,0.5375000000000001,0.1947368421052631,0.1947368421052631,0.1248517252220008,0.1942297630965857,0.0597240641278974,0.1014045716548949
58_Hockey_icehockey_puck_58_825,1.0000000000000001e-20,2.9412578112666736,1.0,10,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0666666666666666,0.0362887369301211,0.0698458604798983,0.0467134541189322,0.1319893061661693,0.0518162642886561,0.1877869102769981,0.9333333333333332,0.07003367003367,0.0617411507196648,0.0724770466706132,0.8773036309637445,0.9817119670491924,0.36,0.36,0.271526507629281,0.3599991397377361,0.36,0.36,0.14,0.14,0.1020449055945678,0.1399460787777701,0.083237216553653,0.0941276245784665
20_Family_Group_Family_Group_20_101,1.0000000000000001e-20,2.9412578112666736,1.0,10,4.4203600000000015e-15,2.0139625932650613,0.9999958016,8,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1652173913043478,0.0468275200620391,0.0901733821733821,0.0629323602489428,0.2415358514271558,0.0532370720599156,0.2782781967355764,0.8347826086956521,0.1764163372859025,0.1550578310112702,0.1757000827271875,0.93884386629018,0.9670211504025704,0.6333333333333334,0.6333333333333334,0.5225035003690167,0.6333333011761665,0.6333333333333334,0.6333333333333334,0.1411764705882353,0.1411764705882353,0.1009007093628702,0.1405765339141987,0.0790258072676077,0.1074880518164035
40_Gymnastics_Gymnastics_40_891,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.1108108108108108,0.0306968018691906,0.1217411603018523,0.0363776989143634,0.2189194024290451,0.0443989360792917,0.2451224134637814,0.8891891891891891,0.1132678132678132,0.0971587301522055,0.1193635034448389,0.909511225184279,0.9845475177847784,0.4555555555555555,0.4555555555555555,0.3506189777533672,0.4555544772200781,0.4555555555555555,0.4555555555555555,0.1529411764705882,0.1529411764705882,0.1006686854363539,0.1517743103171293,0.0768442944567608,0.1150262217027018
