test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
38_Tennis_Tennis_38_758,1.0,-0.2003348423231196,0.0,0,9.910000000000005e-18,2.297756702473389,0.9999999909,9,9.910000000000005e-18,2.297756702473389,0.9999999909,9,0.0,0.0,0.5466666666666666,0.2294679837266095,0.5466666666666666,0.2294679837266095,0.2556635867484513,1.0,0.2261904761904762,0.086017564828168,0.1645804236321838,0.9996634942851368,0.9990549710522858,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0856223497128891,0.1224431844320782,0.0857387937876035,0.1000404255115341
44_Aerobics_Aerobics_44_407,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6399999999999999,0.12,0.5108766233766234,0.078822923986391,0.8249855699855699,0.0576485582590921,0.7335964110963966,0.36,0.6399999999999999,0.4956203074407666,0.6481581381894961,0.975725528928168,0.8983282425503646,0.8,0.8,0.5918258446268059,0.799999521527831,0.8,0.8,0.1341463414634146,0.1341463414634146,0.0914486757129631,0.1327612231839865,0.0831715548555446,0.107389112438159
41_Swimming_Swimming_41_161,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7166666666666666,0.1833333333333333,0.4339652014652014,0.1260266408151289,0.8402762515262514,0.104651800798956,0.8149419239642032,0.2833333333333334,0.7166666666666667,0.5948968410030154,0.7292469622008698,0.9666181417810844,0.933121976247547,0.7166666666666667,0.7166666666666667,0.5835839194500098,0.7166652432786683,0.7166666666666667,0.7166666666666667,0.1378378378378378,0.1378378378378378,0.0927338994751159,0.1372830236478272,0.0866448374192826,0.097464482917743
38_Tennis_Tennis_38_558,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6,0.2134374745810949,0.5414702944114709,0.0777564900265027,0.8190417425711545,0.1079729835585221,0.6471032291200041,0.4800000000000001,0.5683333333333334,0.4304406838042793,0.5550512315810314,0.9995121828857328,0.9589858377222024,0.7200000000000001,0.7200000000000001,0.5601498405115783,0.7199990451686713,0.7200000000000001,0.7200000000000001,0.1666666666666666,0.1648888888888888,0.1014996267306065,0.1615290378986653,0.0677209835374424,0.0981089445123334
13_Interview_Interview_On_Location_13_791,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7962962962962963,0.0602919281337026,0.2689825628686192,0.0911621183150066,0.8497014598804787,0.0529527997115916,0.8102488152009789,0.275,0.7250000000000001,0.5298028404902825,0.7371484453356226,0.9488007564562916,0.9177448281292258,0.7962962962962963,0.7962962962962963,0.5975148092012894,0.7962955754820423,0.7962962962962963,0.7962962962962963,0.1235294117647058,0.1235294117647058,0.089194526516253,0.1219842410671409,0.0851712550588934,0.1059528922274307
47_Matador_Bullfighter_matadorbullfighting_47_777,9.910000000000005e-18,2.297756702473389,0.9999999909,9,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5666666666666667,0.2134374745810949,0.3866666666666666,0.1339153961773377,0.7344444444444445,0.164237858224205,0.6751369760778418,0.4333333333333333,0.596969696969697,0.5337943170433613,0.5820474721769595,0.9665435358362992,0.8996852993767254,0.8500000000000001,0.8500000000000001,0.7339303921255678,0.8499996792169442,0.8500000000000001,0.8500000000000001,0.1294117647058823,0.1294117647058823,0.087568639289427,0.1285888926012625,0.0882446040053784,0.1000366041839338
29_Students_Schoolkids_Students_Schoolkids_29_506,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.6666666666666666,0.1054092553389459,0.4376923076923077,0.0935250918245416,0.8074786324786325,0.0797118527734064,0.7605556370931307,0.3333333333333334,0.68125,0.4519503935164538,0.692563763248874,0.982739546816588,0.949306631256346,0.6666666666666666,0.6666666666666666,0.4586185649595848,0.6666657233067393,0.6666666666666666,0.6666666666666666,0.15625,0.1562499999999999,0.0988673784317503,0.1543282977932185,0.0661000092244686,0.1033584168360959
32_Worker_Laborer_Worker_Laborer_32_400,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7428571428571427,0.1245399698154478,0.5372731271995977,0.06309558436591,0.8799582525317821,0.0651232806847506,0.7223699916279361,0.36,0.6733333333333333,0.5562046332848676,0.6547078596004969,0.9539615236812878,0.9179942724576272,0.8666666666666666,0.8666666666666666,0.7097799099603507,0.8666664483034651,0.8666666666666666,0.8666666666666666,0.1333333333333332,0.1333333333333332,0.0949517289995014,0.1322394718797208,0.0823351338395593,0.1050085676984573
31_Waiter_Waitress_Waiter_Waitress_31_195,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5857142857142856,0.0769309258162072,0.3752874902874903,0.082046658269716,0.7442862692862693,0.0462672388605724,0.6850951291290086,0.4142857142857144,0.5987012987012987,0.4793285643409287,0.5964732353783154,0.9852398324271502,0.8708718677740953,0.82,0.82,0.6447274759641938,0.8199980139875503,0.82,0.82,0.1257142857142856,0.1257142857142856,0.0867465736658654,0.1256046700545434,0.0857970405225201,0.1029269420042928
31_Waiter_Waitress_Waiter_Waitress_31_465,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.52,0.132664991614216,0.5334145021645021,0.1029911262683595,0.7695526695526695,0.1009110793240281,0.6331566146099148,0.4800000000000001,0.6104761904761904,0.4318959759750035,0.5918129197647278,0.9590789983345882,0.9191776801214384,0.8666666666666667,0.8666666666666667,0.6359222338030058,0.8666655459788787,0.8666666666666667,0.8666666666666667,0.1259999999999999,0.1259999999999999,0.0892991002146199,0.1254894320374295,0.0847800703394434,0.1041730185738187
