test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
image_dall_3_139,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.0956179249911955,0.4431662664701647,0.2639010709,1,2.0289394126000006e-10,1.5718194052621075,0.9983222784,6,0.05,0.0552770798392566,0.0076923076923076,0.023076923076923,0.0576923076923076,0.0530930236944837,0.1015211998939202,0.95,0.0499999999999999,0.0354034317799597,0.053983954826191,0.9625057853272304,0.9905329699267216,0.3,0.3,0.1635743765769024,0.2999999164821172,0.3,0.3,0.1,0.0999999999999999,0.0530985668696801,0.0999996739416492,0.0999999999999999,0.0999999999999999
image_dall_3_147,0.0956179249911955,0.4431662664701647,0.2639010709,1,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.025,0.075,0.0,0.0,0.025,0.075,0.0775658087957844,0.975,0.0249999999999999,0.0285207705722845,0.0387085603713072,0.9455781489058388,0.9883271100693556,0.1,0.0999999999999999,0.0472422345576946,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_121,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0280702836205183,1.0,0.0,0.0003674857988688,1.121292089125855e-05,0.9515670763684771,0.9883141922707956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_124,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.030735707375647,1.0,0.0,0.0090550118305085,0.0007375512003291,0.941420679103574,0.9876860284058688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_41,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326600612078896,1.0,0.0,0.0011015353625413,4.341269143950503e-05,0.9779364272131998,0.9923904252277352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_116,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262443095866059,1.0,0.0,0.0003608056587124,3.182370103685697e-05,0.8913449466115697,0.9830841248250328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_94,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.023627015242823,1.0,0.0,5.977742124081719e-05,6.245782110338961e-06,0.9795294232655009,0.9929496406915058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_113,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0,0.0,0.05,0.15,0.05,0.15,0.0425848042537031,1.0,0.0,0.0009258558944026,0.0001085487215412,0.993608383039649,0.99449312517123,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0999999999999999,0.0511286652861926,0.0999998060792156,0.0999999999999999,0.0999999999999999
image_dall_3_34,1.0,-0.2003348423231196,0.0,0,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,0.0,0.0,0.1,0.1224744871391589,0.1,0.1224744871391589,0.0388918648058257,1.0,0.0,0.0023495826677365,0.0001697672864135,0.9541221610992348,0.9893380207323652,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0752840561543775,0.3880679867330018,0.0788003349090494,0.0137585181966092
image_dall_3_107,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,1.0,-0.2003348423231196,0.0,0,2.0012761569408403e-06,1.1691035636814462,0.9536425984,4,0.2,0.2449489742783178,0.0,0.0,0.2,0.2449489742783178,0.2257300992272706,0.8,0.2,0.1042446818089865,0.2070795407575062,0.9890581711411106,0.9948106515413336,0.4,0.4,0.2038455462296218,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_76,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307823112738081,1.0,0.0,0.0002092397726492,4.269240563996553e-06,0.9276436570463966,0.98555574157274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_131,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0,0.0,0.0333333333333333,0.0999999999999999,0.0333333333333333,0.0999999999999999,0.0223224369626275,1.0,0.0,0.0008835222045863,2.219652915228192e-05,0.9104848345666078,0.984904543241302,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0999999999999999,0.0522791077001897,0.0999998359260871,0.0999999999999999,0.0999999999999999
image_dall_3_73,1.0,-0.2003348423231196,0.0,0,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0956179249911955,0.4431662664701647,0.2639010709,1,0.0,0.0,0.025,0.075,0.025,0.075,0.0293329507144514,1.0,0.0,0.0072084024658952,0.0012214188638222,0.9381384520614744,0.987662789132569,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0999999999999999,0.0549834224981168,0.0999998542721953,0.0999999999999999,0.0999999999999999
image_dall_3_90,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,1.0,-0.2003348423231196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0583050245478922,1.0,0.0,0.0079377873555753,0.000738794519396,0.9768665086084778,0.992290778232408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_dall_3_117,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,1.0,-0.2003348423231196,0.0,0,2.4167843198740007e-08,1.370461484471777,0.9892578125,5,0.125,0.125,0.0,0.0,0.125,0.125,0.1630795323012424,0.875,0.125,0.0628687627514005,0.1314703213571653,0.9266098604090502,0.9864753259025186,0.5,0.5,0.246868473414734,0.4999977878481664,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
