test_suite,[img_level] iskill_miss_p_value,[img_level] iskill_miss_cohens_h,[img_level] iskill_miss_power,[img_level] iskill_miss_count,[img_level] iskill_ghost_p_value,[img_level] iskill_ghost_cohens_h,[img_level] iskill_ghost_power,[img_level] iskill_ghost_count,[img_level] iskill_miss_ghost_p_value,[img_level] iskill_miss_ghost_cohens_h,[img_level] iskill_miss_ghost_power,[img_level] iskill_miss_ghost_count,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
image_top184,0.0042662002428314,0.7269603756784926,0.6241903615999997,2,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.2,0.4000000000000001,0.8821453546453546,0.0255745764421734,0.9099231324231326,0.0491689804693255,0.5630280919848077,0.8,0.1999999999999999,0.3136899513556996,0.258842758424235,0.9997304581882444,0.999195673553487,0.2,0.1999999999999999,0.1952629215238318,0.1999995491775553,0.1999999999999999,0.1999999999999999,0.1926829268292682,0.1926829268292682,0.1304918972106185,0.186607248731775,0.0699180882846662,0.1061151096817207
image_top190,1.0,-0.2003348423231196,0.0,0,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0,0.0,0.8788553113553114,0.0278972395642056,0.8788553113553114,0.0278972395642056,0.3146470914323263,1.0,0.0,0.1336987361992644,0.0001740077164631,0.9993960486482668,0.9986259628344965,0.0,0.0,0.0,0.0,0.0,0.0,0.1790697674418604,0.1790697674418604,0.1484397052581041,0.1765429364935096,0.0630379460329838,0.111660310355693
image_top43,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.85,0.1224744871391589,0.6935164835164837,0.043109616060695,0.9516071428571428,0.0405252241513481,0.68400308521533,0.6,0.4,0.4286522272896221,0.4190920346779819,0.9998142293437204,0.9991809257606704,0.85,0.85,0.5259691196867345,0.849998210967653,0.85,0.85,0.2113636363636363,0.2113636363636363,0.1296870098308707,0.2052730499729284,0.070198355717304,0.1147836541874792
image_top442,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.525,0.075,0.6898368298368298,0.0629242248074346,0.8515850815850816,0.0409858659403559,0.4209141548665212,0.95,0.0499999999999999,0.0698884622158747,0.055215918690973,0.99964588822588,0.9989473286034868,0.7000000000000001,0.7000000000000001,0.6437415825965143,0.6999999944900362,0.7000000000000001,0.7000000000000001,0.1807692307692307,0.1807692307692307,0.1333398240353656,0.1754661033304848,0.057816165237769,0.1106592068081779
image_top175,1.0,-0.2003348423231196,0.0,0,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0,0.0,0.8724999999999999,0.027651100038395,0.8724999999999999,0.027651100038395,0.2712942455510445,1.0,0.0,0.0822618100822417,0.0287906351362956,0.9996934237466152,0.999020948382256,0.0,0.0,0.0,0.0,0.0,0.0,0.2057142857142856,0.2057142857142856,0.1419246538883892,0.2008929886865273,0.0630016170904213,0.098601053161888
image_open8,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7666666666666667,0.1527525231651947,0.7325670163170164,0.0402466851484189,0.9393910256410256,0.041204151397322,0.6258704734206212,0.7,0.3,0.3255550773242587,0.3173001918328436,0.9999428114192148,0.9995837763781454,0.7666666666666666,0.7666666666666666,0.7544866961500277,0.7666653349901497,0.7666666666666666,0.7666666666666666,0.1349206349206348,0.1349206349206348,0.1113558058646136,0.1337893852744617,0.0858161392434066,0.1119165458530029
image_top371,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.7333333333333334,0.1333333333333333,0.7480885780885782,0.0414893598168293,0.935120435120435,0.0347346984502434,0.5344143419081573,0.8,0.1999999999999999,0.225737336901163,0.2076692026000008,0.9997405079550272,0.9991671084608128,0.7333333333333334,0.7333333333333334,0.514760534377576,0.7333311927187434,0.7333333333333334,0.7333333333333334,0.1754716981132075,0.1754716981132075,0.1344425086976809,0.1732799845541785,0.0624289306256544,0.110432554087706
image_top358,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.75,0.1581138830084189,0.6987721755368814,0.0525107285302254,0.9221335200746964,0.0567963712053263,0.6598718248388646,0.5,0.5,0.532954635351845,0.5000947701721512,0.902008226670816,0.8992567891715606,0.75,0.75,0.7262911861242538,0.7499998129659855,0.75,0.75,0.1590163934426229,0.1590163934426229,0.1358939479932736,0.1574046928400255,0.0725763713902552,0.1156600748921874
image_top348,0.0956179249911955,0.4431662664701647,0.2639010709,1,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.025,0.075,0.7204212454212454,0.0566836797947391,0.7304212454212454,0.0412869791417053,0.3238927431342848,0.975,0.0249999999999999,0.0708873737876671,0.0498610877391372,0.999709900871932,0.9991780229900132,0.1,0.0999999999999999,0.0995639100738764,0.099999649523796,0.0999999999999999,0.0999999999999999,0.2137254901960784,0.2137254901960784,0.1373505135395463,0.2053557626199667,0.0711131377776023,0.1069252549705431
image_top552,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0,0.0,0.7054700854700855,0.0463500104789674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8228484947681202,0.9999983732612284,1.0,1.0,0.1867924528301887,0.1867924528301886,0.1271254870551795,0.1803099299266765,0.0708060791587704,0.1113746690118632
image_top189,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.5333333333333332,0.1632993161855452,0.760949050949051,0.033881519112459,0.8895587745587747,0.0388472574087969,0.5766515753043818,0.7,0.3,0.2294555078157871,0.3000434324603293,0.9998861223514864,0.9994392232973538,0.8,0.8,0.6390493560455622,0.7999987816872887,0.8,0.8,0.175,0.175,0.1437055706129266,0.1729833194613582,0.0651638833095483,0.1120835124177315
image_top284,0.0001138491179057,0.9589446384042888,0.8506916541,3,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.3,0.458257569495584,0.8811965811965813,0.0361836120420229,0.9236965811965812,0.055125260803902,0.5931621003094902,0.7,0.3,0.2967686569282273,0.300002289588046,0.999602364062682,0.9990198844713336,0.3,0.3,0.2990221974144548,0.2999994290957266,0.3,0.3,0.253125,0.253125,0.1575818215066171,0.2446060311014057,0.0477853903993636,0.0891535922713796
image_top317,1.0,-0.2003348423231196,0.0,0,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,0.0,0.0,0.6676434676434677,0.0594192939850808,0.6676434676434677,0.0594192939850808,0.3044942655769397,1.0,0.0,0.080182858894235,0.0186494331649177,0.9996943249709168,0.999184602495339,0.0,0.0,0.0,0.0,0.0,0.0,0.2210526315789473,0.2210526315789473,0.1385499558373638,0.2118849811961772,0.0581947360692901,0.1066435843232084
image_open25,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0000000000000001e-20,2.9412578112666736,1.0,10,1.0,0.0,0.8805977355977355,0.0338603349645259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8294487483618387,1.0,1.0,1.0,0.1632653061224489,0.1632653061224489,0.1275000940282066,0.1590181944248494,0.0696221188926682,0.0936847618628222
